"","N","LEN","SIGMA","PHI","SIGMA.PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","phi_lower","phi_med","phi_upper","R_hat_sigma","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"34",100,500,50,0.4,1,0.41,0.93,35.6408,44.4904,56.1084,0.326695,0.4349045,0.523726,0.999871321341144,1.003163493686,15000,5000,20,500
"35",100,500,50,0.4,1,0.39,0.95,47.773,61.00225,78.5659,0.332841,0.4375815,0.535146,1.00279836035825,1.00066996950696,15000,5000,20,500
"36",100,500,50,0.4,1,0.37,0.89,34.5218,43.6033,55.5925,0.308386,0.403209,0.504301,1.00122676197497,1.00340820774078,15000,5000,20,500
"37",100,500,50,0.4,1,0.43,0.97,41.4282,51.97525,65.166,0.35153,0.4504845,0.54258,0.999395336569044,1.0012105352312,15000,5000,20,500
"38",100,500,50,0.4,1,0.34,0.89,45.3598,59.1848,76.7198,0.272705,0.3751955,0.477561,1.00465209973321,1.00107230188092,15000,5000,20,500
"39",100,500,50,0.4,1,0.35,0.94,47.158,61.4353,77.5598,0.294678,0.387543,0.488802,1.00669346389695,1.00089148187405,15000,5000,20,500
"40",100,500,50,0.4,1,0.38,0.93,42.1015,55.93785,70.6554,0.325061,0.4195525,0.519164,0.999793242231762,1.00177630222569,15000,5000,20,500
"41",100,500,50,0.4,1,0.27,0.89,25.9195,35.1616,46.6634,0.20876,0.2929625,0.388173,1.00012206279224,1.00122549022776,15000,5000,20,500
"42",100,500,50,0.4,1,0.41,0.93,36.5289,47.5288,59.2035,0.351364,0.443668,0.547959,1.00433638569361,0.999982320329124,15000,5000,20,500
"43",100,500,50,0.4,1,0.42,0.91,33.2924,40.57305,51.3572,0.350051,0.448662,0.548252,1.00010314257097,0.999970050149048,15000,5000,20,500
"44",100,500,50,0.4,1,0.38,0.91,36.6701,46.8351,61.036,0.316991,0.417976,0.52295,1.00342539457336,1.00041874395932,15000,5000,20,500
"45",100,500,50,0.4,1,0.39,0.93,42.7746,55.1395,71.4838,0.338174,0.43784,0.552991,1.00041287380192,1.0000584942607,15000,5000,20,500
"46",100,500,50,0.4,1,0.44,0.91,41.6078,51.767,65.7429,0.384192,0.4760845,0.5814,0.999388634132547,1.00222075214917,15000,5000,20,500
"47",100,500,50,0.4,1,0.31,0.91,47.6687,63.3155,85.7431,0.253207,0.3512875,0.452178,1.00114813742494,1.00366674125611,15000,5000,20,500
"48",100,500,50,0.4,1,0.37,0.92,41.5603,53.4653,68.0431,0.312713,0.410832,0.523353,1.00030463778352,1.00165554595969,15000,5000,20,500
"49",100,500,50,0.4,1,0.44,0.92,33.9822,43.84045,54.3528,0.376367,0.4677675,0.573619,1.00136066551046,1.00082246985488,15000,5000,20,500
"50",100,500,50,0.4,1,0.36,0.92,43.5305,55.6264,72.2536,0.30158,0.404607,0.506855,1.00419008943084,0.999136333969742,15000,5000,20,500
"51",500,500,50,0.4,1,0.396,0.91,49.9826,55.9657,62.3907,0.390652,0.4369545,0.481087,1.00126996196607,1.00081350161824,15000,5000,20,500
"52",500,500,50,0.4,1,0.36,0.924,38.9109,43.42805,48.0739,0.342248,0.3866605,0.431035,0.999667607777605,1.00066054162121,15000,5000,20,500
"53",500,500,50,0.4,1,0.396,0.938,46.6522,51.98045,58.3032,0.37824,0.4273635,0.469944,1.00208310928221,0.999636735381839,15000,5000,20,500
"54",500,500,50,0.4,1,0.418,0.93,43.2762,48.12735,53.3736,0.404105,0.4508075,0.494364,1.00051767888699,1.00031034977502,15000,5000,20,500
"55",500,500,50,0.4,1,0.41,0.906,43.8366,48.66665,53.9811,0.403368,0.4498655,0.49645,0.999878443863998,1.00104521745513,15000,5000,20,500
"56",500,500,50,0.4,1,0.404,0.948,45.3475,50.20405,56.0171,0.381132,0.429378,0.47006,0.999885089005554,1.00022559805969,15000,5000,20,500
"57",500,500,50,0.4,1,0.406,0.9,43.0662,47.6454,52.9441,0.397439,0.4423575,0.489431,1.0013511787369,0.999823199559553,15000,5000,20,500
"58",500,500,50,0.4,1,0.362,0.934,42.6507,47.4071,52.8782,0.345505,0.3896175,0.434576,0.99939504290411,1.00044599245691,15000,5000,20,500
"59",500,500,50,0.4,1,0.384,0.926,47.3234,52.74985,58.2517,0.374033,0.4171425,0.463194,1.00184143370968,1.0015501500981,15000,5000,20,500
"60",500,500,50,0.4,1,0.428,0.91,43.9491,48.4041,53.4156,0.41239,0.4589925,0.505863,1.00111436402419,1.0011875675591,15000,5000,20,500
"61",500,500,50,0.4,1,0.404,0.922,48.1963,53.81625,59.7072,0.393014,0.4421375,0.485022,1.00449624896567,1.00192403774439,15000,5000,20,500
"62",500,500,50,0.4,1,0.4,0.918,44.2566,49.0678,54.266,0.39566,0.43791,0.485215,0.999947690685223,1.00207714179826,15000,5000,20,500
"63",500,500,50,0.4,1,0.354,0.93,48.2673,54.3789,60.9159,0.351242,0.3922195,0.440805,1.00002285474883,1.00150953936636,15000,5000,20,500
"64",500,500,50,0.4,1,0.364,0.874,44.7424,49.8477,55.5537,0.357277,0.401193,0.448669,1.00702000594781,1.00027015728719,15000,5000,20,500
"65",500,500,50,0.4,1,0.39,0.896,47.8275,53.51355,59.0632,0.391616,0.438985,0.485426,1.00049505761302,1.00056846091292,15000,5000,20,500
"66",500,500,50,0.4,1,0.398,0.94,42.595,47.1096,52.0651,0.385742,0.42864,0.479289,1.00011220763783,0.99911298442108,15000,5000,20,500
"67",500,500,50,0.4,1,0.374,0.926,42.92,48.23485,53.5283,0.361293,0.4048925,0.449154,1.00113394423438,1.00043083316657,15000,5000,20,500
"68",500,500,50,0.4,1,0.378,0.912,42.8868,47.2677,53.0222,0.36395,0.4072345,0.454221,1.00095406694949,1.00059723047019,15000,5000,20,500
"69",500,500,50,0.4,1,0.376,0.922,46.1109,51.1914,57.0164,0.357875,0.4063475,0.449631,1.00090998333885,0.999885516006427,15000,5000,20,500
"70",500,500,50,0.4,1,0.394,0.93,43.2229,47.7084,53.1075,0.383709,0.427203,0.474114,1.00025554729585,1.0005006790914,15000,5000,20,500
"71",500,500,50,0.4,1,0.39,0.932,44.8699,49.7423,55.3536,0.371823,0.41751,0.463941,1.00218734016822,1.00046845750519,15000,5000,20,500
"72",500,500,50,0.4,1,0.364,0.924,46.4518,51.70645,57.729,0.355753,0.3966245,0.442909,1.00300911167377,1.00007575607453,15000,5000,20,500
"73",500,500,50,0.4,1,0.374,0.892,47.8577,53.2056,59.9932,0.363737,0.409645,0.45567,1.00179390778591,1.00081127635742,15000,5000,20,500
"74",500,500,50,0.4,1,0.36,0.924,42.5576,47.73525,53.2625,0.35136,0.394299,0.443848,1.00088967510889,0.999266774258528,15000,5000,20,500
"75",500,500,50,0.4,1,0.374,0.914,50.7755,56.5177,63.1535,0.365094,0.409244,0.456837,0.999532770021562,1.00098965718793,15000,5000,20,500
"76",500,500,50,0.4,1,0.386,0.922,44.8721,50.0943,55.6228,0.375276,0.4206185,0.464651,1.00001983305872,1.00145322581378,15000,5000,20,500
"77",500,500,50,0.4,1,0.36,0.916,43.4562,48.5821,53.8621,0.344245,0.3903435,0.43343,1.0040395468761,1.00052233631604,15000,5000,20,500
"78",500,500,50,0.4,1,0.378,0.916,43.342,48.3203,53.6591,0.365325,0.4109795,0.455503,1.00059930275807,0.999767072112526,15000,5000,20,500
"79",500,500,50,0.4,1,0.432,0.916,44.3226,48.7201,54.1124,0.424843,0.467642,0.514325,1.00084787425956,1.00021992935997,15000,5000,20,500
"80",500,500,50,0.4,1,0.39,0.932,43.41,48.5473,54.1811,0.377082,0.424983,0.468259,1.00109352664179,1.00101316821971,15000,5000,20,500
"81",500,500,50,0.4,1,0.392,0.932,45.4387,50.33035,56.1555,0.382646,0.4287685,0.474343,0.99997217202925,1.00398280999107,15000,5000,20,500
"82",500,500,50,0.4,1,0.354,0.914,48.6919,54.9049,60.7915,0.345537,0.387439,0.436064,1.0025289179694,1.00034010290718,15000,5000,20,500
"83",500,500,50,0.4,1,0.374,0.906,41.8482,47.0707,52.5606,0.358667,0.402518,0.449581,1.00176896560125,1.00142187885352,15000,5000,20,500
"84",500,500,50,0.4,1,0.38,0.922,43.6702,48.7026,54.5024,0.365814,0.409157,0.455401,0.999864525419999,1.00005465975457,15000,5000,20,500
"85",500,500,50,0.4,1,0.408,0.932,46.7046,52.11765,57.4668,0.395151,0.4400195,0.485708,1.00106540288501,1.00100815404211,15000,5000,20,500
"86",500,500,50,0.4,1,0.406,0.936,46.0546,50.8419,56.8174,0.400125,0.446784,0.487304,1.00056202675149,0.999709814455142,15000,5000,20,500
"87",500,500,50,0.4,1,0.364,0.928,45.1333,49.9309,56.1046,0.35029,0.3940245,0.437303,1.00157144975062,1.0003934092645,15000,5000,20,500
"88",500,500,50,0.4,1,0.37,0.924,43.5621,48.80505,54.0383,0.349681,0.3993555,0.441413,1.00229679579322,1.00015444894433,15000,5000,20,500
"89",500,500,50,0.4,1,0.4,0.906,37.8639,41.6834,46.4874,0.381007,0.428239,0.471383,1.00052874186397,0.999511597207951,15000,5000,20,500
"90",500,500,50,0.4,1,0.36,0.916,48.2366,53.83895,60.4612,0.351516,0.393306,0.441131,0.999670206267981,0.999868013431879,15000,5000,20,500
"91",500,500,50,0.4,1,0.394,0.93,45.6811,50.77285,56.3185,0.379206,0.425389,0.471278,1.00232430324477,1.00397426182234,15000,5000,20,500
"92",500,500,50,0.4,1,0.364,0.912,46.4363,52.0772,57.6185,0.351397,0.4004125,0.44456,0.999665775423299,1.00106731436422,15000,5000,20,500
"93",500,500,50,0.4,1,0.374,0.928,48.0741,53.41565,59.7487,0.369616,0.4146215,0.459473,0.999371398984277,0.999998628913059,15000,5000,20,500
"94",500,500,50,0.4,1,0.378,0.928,41.2438,46.33985,51.4795,0.363924,0.4072705,0.455203,1.00140616628541,1.00019067198837,15000,5000,20,500
"95",500,500,50,0.4,1,0.408,0.934,48.0434,53.55465,58.6243,0.401317,0.4428755,0.4918,0.999613889241722,1.00132406566228,15000,5000,20,500
"96",500,500,50,0.4,1,0.384,0.936,46.6963,51.52335,58.0172,0.366817,0.4121435,0.45407,0.999779614087565,1.0002511222657,15000,5000,20,500
"97",500,500,50,0.4,1,0.382,0.916,45.129,50.12485,55.8851,0.371123,0.416914,0.462183,1.00098294437124,0.99990535244441,15000,5000,20,500
"98",500,500,50,0.4,1,0.424,0.922,47.5995,53.0787,58.4624,0.417416,0.464149,0.509772,1.00068289520985,0.999152115881163,15000,5000,20,500
"99",500,500,50,0.4,1,0.352,0.914,43.7327,48.6015,54.3991,0.341792,0.381888,0.432317,1.00158953432965,0.999786043597106,15000,5000,20,500
