"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"34",100,500,50,0.4,1,0.42,0.82,38.9183,55.49365,77.4629,0.376283,0.484353,0.602238,1.00100890809772,1.0011538868464,15000,5000,20,500
"35",100,500,50,0.4,1,0.32,0.9,33.7873,51.39525,79.0352,0.248649,0.354311,0.452978,1.00577760541432,1.00070565968026,15000,5000,20,500
"36",100,500,50,0.4,1,0.38,0.86,32.1005,46.56975,65.8073,0.324214,0.4327985,0.533248,1.00066039791057,1.00050342394999,15000,5000,20,500
"37",100,500,50,0.4,1,0.36,0.84,37.1887,56.9381,82.5755,0.318536,0.4106335,0.525527,1.00285253431732,1.00089641714824,15000,5000,20,500
"38",100,500,50,0.4,1,0.44,0.89,31.7284,45.23055,61.3993,0.378477,0.4759285,0.58651,1.00155321624773,1.00015827514094,15000,5000,20,500
"39",100,500,50,0.4,1,0.41,0.86,40.1111,59.0925,82.5666,0.376622,0.481336,0.597961,1.00172395375619,1.00341922270521,15000,5000,20,500
"40",100,500,50,0.4,1,0.56,0.94,36.8692,50.9311,68.136,0.505158,0.6029875,0.704987,1.00111270807158,1.00099718862226,15000,5000,20,500
"41",100,500,50,0.4,1,0.38,0.91,33.1117,49.31805,70.4097,0.315348,0.421278,0.524334,1.00431865759741,1.00036457082519,15000,5000,20,500
"42",100,500,50,0.4,1,0.29,0.85,27.4079,46.0766,69.5522,0.234893,0.3328615,0.431292,1.00932964069585,1.00101400838903,15000,5000,20,500
"43",100,500,50,0.4,1,0.41,0.92,24.2645,34.1534,47.8313,0.336599,0.43918,0.546107,1.00121636417984,1.00315048160984,15000,5000,20,500
"44",100,500,50,0.4,1,0.39,0.92,31.3978,45.46955,64.5499,0.331099,0.4365315,0.540862,1.00643700004394,1.00531954786742,15000,5000,20,500
"45",100,500,50,0.4,1,0.31,0.93,31.4939,47.9253,69.7265,0.250211,0.351586,0.44609,1.00161652330321,1.00466047537304,15000,5000,20,500
"46",100,500,50,0.4,1,0.38,0.96,39.0969,62.87715,94.5773,0.328286,0.432164,0.543308,1.01981105483145,1.00741554504047,15000,5000,20,500
"47",100,500,50,0.4,1,0.36,0.95,31.7733,46.25905,68.8153,0.29718,0.394345,0.497855,1.01405480863534,1.00181286148576,15000,5000,20,500
"48",100,500,50,0.4,1,0.38,0.94,38.9065,57.83555,81.8644,0.316262,0.4313395,0.533173,1.00235928063441,1.00096921161486,15000,5000,20,500
"49",100,500,50,0.4,1,0.38,0.87,34.1462,50.64735,71.0821,0.332288,0.434078,0.534992,1.00234689365831,0.999702903183467,15000,5000,20,500
"50",100,500,50,0.4,1,0.42,0.93,43.9175,66.6076,93.8686,0.361741,0.4707935,0.579815,1.00298972823523,1.00068325485362,15000,5000,20,500
"51",500,500,50,0.4,1,0.4,0.896,46.4214,54.0666,63.2696,0.393287,0.444914,0.493442,1.00440571096971,1.00094102162338,15000,5000,20,500
"52",500,500,50,0.4,1,0.378,0.898,46.696,54.7415,64.9792,0.376435,0.424135,0.475417,1.00379257845581,0.999343846609301,15000,5000,20,500
"53",500,500,50,0.4,1,0.354,0.89,37.6614,45.2167,52.8372,0.340134,0.3886725,0.433605,0.999357089413679,0.999904068869616,15000,5000,20,500
"54",500,500,50,0.4,1,0.36,0.888,43.6325,51.47325,60.8274,0.350545,0.3984475,0.444741,1.00910171149602,1.00100157148452,15000,5000,20,500
"55",500,500,50,0.4,1,0.368,0.91,42.6885,51.24765,60.4973,0.36548,0.409746,0.463909,1.0051219126717,1.0003460228274,15000,5000,20,500
"56",500,500,50,0.4,1,0.384,0.906,38.2548,45.83765,53.0151,0.381259,0.424723,0.473213,1.00479163055407,1.00513793964805,15000,5000,20,500
"57",500,500,50,0.4,1,0.368,0.916,42.6386,50.67075,58.9311,0.367892,0.413819,0.462966,1.00302450773908,1.00021796205156,15000,5000,20,500
"58",500,500,50,0.4,1,0.396,0.902,44.915,53.0556,61.2603,0.397352,0.441631,0.492198,1.00161078824685,0.999330391687685,15000,5000,20,500
"59",500,500,50,0.4,1,0.38,0.894,41.479,48.2409,56.8362,0.370825,0.419915,0.464475,1.0042123061209,0.999816817180611,15000,5000,20,500
"60",500,500,50,0.4,1,0.36,0.92,37.1643,43.85995,51.3727,0.347847,0.3907065,0.436923,1.00616264307669,1.00084932607583,15000,5000,20,500
"61",500,500,50,0.4,1,0.356,0.894,41.9392,49.87395,58.7237,0.347763,0.3969885,0.44046,1.00547054333536,1.00545213370786,15000,5000,20,500
"62",500,500,50,0.4,1,0.388,0.898,43.265,51.16585,60.1088,0.384836,0.433755,0.480012,1.00246349337638,1.00578825481911,15000,5000,20,500
"63",500,500,50,0.4,1,0.354,0.9,46.5722,55.23655,65.994,0.355215,0.399735,0.448001,1.00391414126808,1.00130329146067,15000,5000,20,500
"64",500,500,50,0.4,1,0.384,0.892,49.3741,58.2427,68.0188,0.39097,0.43395,0.48695,0.9998491287728,1.00195334780721,15000,5000,20,500
"65",500,500,50,0.4,1,0.374,0.908,42.9463,51.3368,60.1946,0.371872,0.4154375,0.468573,1.00025711159062,0.999149090197033,15000,5000,20,500
"66",500,500,50,0.4,1,0.382,0.9,45.6255,53.1541,63.2141,0.378095,0.4260055,0.469085,1.00583854853767,0.999492001338091,15000,5000,20,500
"67",500,500,50,0.4,1,0.398,0.898,43.3921,51.26135,60.4953,0.394179,0.4413115,0.491025,0.999543544390185,0.999753922735549,15000,5000,20,500
"68",500,500,50,0.4,1,0.364,0.912,44.8585,52.9007,62.3235,0.354456,0.402195,0.450733,1.000891298628,1.00108109160361,15000,5000,20,500
