"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"47",100,500,0.4,212.089885009918,0.31,0.68,74.2785,108.779,150.809,1.00009139558205,15000,5000,20,500
"48",100,500,0.4,112.237111232243,0.44,0.86,48.1376,66.39685,87.8078,1.00059366447522,15000,5000,20,500
"49",100,500,0.4,30.1832715980709,0.41,0.98,19.7175,26.07475,35.5417,1.0033994542654,15000,5000,20,500
"50",100,500,0.4,157.542271644343,0.3,0.74,78.0971,116.541,163.007,0.999194312157904,15000,5000,20,500
"51",100,500,0.4,255.046579856426,0.25,0.54,86.4896,126.774,185.67,1.00072761633764,15000,5000,20,500
"52",100,500,0.4,226.912945457734,0.21,0.63,76.1464,123.6045,184.283,1.0008971622318,15000,5000,20,500
"53",100,500,0.4,95.2859443589114,0.25,0.82,58.2554,89.0512,125.746,1.00045779386178,15000,5000,20,500
"54",100,500,0.4,95.2179220621474,0.32,0.82,61.8212,87.30695,120.217,0.999506083490737,15000,5000,20,500
"55",100,500,0.4,277.135410252959,0.18,0.48,70.3227,112.004,178.097,1.00354920429646,15000,5000,20,500
"56",100,500,0.4,178.105908113066,0.22,0.64,47.9707,74.2444,108.476,1.00008831138572,15000,5000,20,500
"57",100,500,0.4,216.122489075642,0.23,0.52,77.7141,125.33,183.716,1.00023877043807,15000,5000,20,500
"58",100,500,0.4,292.201286747586,0.22,0.42,60.3464,97.0905,142.272,1.00028207455994,15000,5000,20,500
"59",100,500,0.4,74.9155749497004,0.4,0.88,35.362,48.8264,65.6597,0.999613528072572,15000,5000,20,500
"60",100,500,0.4,217.01791663887,0.29,0.58,85.183,127.2955,182.189,1.00126717272566,15000,5000,20,500
"61",100,500,0.4,176.354264593683,0.29,0.67,75.1301,112.6875,160.863,1.00022036679995,15000,5000,20,500
"62",100,500,0.4,287.489202376455,0.24,0.57,104.568,154.8165,232.084,1.00495311167613,15000,5000,20,500
"63",100,500,0.4,228.037701162975,0.23,0.58,47.649,71.77205,107.123,1.00165335273167,15000,5000,20,500
"64",100,500,0.4,246.567080309615,0.12,0.48,89.2401,160.2725,281.885,1.00006356702376,15000,5000,20,500
"65",100,500,0.4,256.886858246289,0.24,0.52,60.0269,91.7918,133.951,1.00220690896876,15000,5000,20,500
"66",100,500,0.4,242.556596423965,0.19,0.53,88.5263,142.63,221.004,1.00091841306872,15000,5000,20,500
"67",100,500,0.4,60.6874927552417,0.32,0.84,35.382,50.78765,69.6877,1.00046046554546,15000,5000,20,500
"68",100,500,0.4,180.335297421552,0.23,0.69,95.5248,146.421,215.198,1.00193459660739,15000,5000,20,500
"69",100,500,0.4,151.986743905582,0.3,0.74,55.5656,84.7077,117.378,1.00074965956834,15000,5000,20,500
"70",100,500,0.4,139.177569660824,0.34,0.8,74.4318,104.4165,141.795,1.0005970888172,15000,5000,20,500
"71",100,500,0.4,129.131442129146,0.23,0.68,60.1142,94.91785,142.877,1.00000837917559,15000,5000,20,500
"72",100,500,0.4,257.422352691647,0.22,0.65,88.9734,135.551,203.897,1.00098151743434,15000,5000,20,500
"73",100,500,0.4,14.8544608708471,0.41,1,9.09082,12.60875,17.1121,1.0012849263715,15000,5000,20,500
"74",100,500,0.4,231.942935448606,0.28,0.61,96.2835,136.352,197.46,0.999914337328608,15000,5000,20,500
"75",100,500,0.4,166.620005369186,0.32,0.74,65.4251,102.061,137.891,1.00148215910082,15000,5000,20,500
"76",100,500,0.4,128.847884249408,0.19,0.74,56.8856,95.1389,144.287,1.00325263942049,15000,5000,20,500
"77",100,500,0.4,245.935397499707,0.3,0.59,98.1225,139.982,199.019,1.00075396123431,15000,5000,20,500
"78",100,500,0.4,296.99590865057,0.17,0.53,74.1427,125.4315,201.524,1.00290993294258,15000,5000,20,500
"79",100,500,0.4,126.223472028505,0.28,0.72,42.9304,64.2914,92.3346,1.00012557044256,15000,5000,20,500
"80",100,500,0.4,171.958647242282,0.38,0.73,68.3036,94.9955,128.513,1.00220840909677,15000,5000,20,500
"81",100,500,0.4,157.47892820742,0.25,0.74,57.1879,86.5472,126.976,0.999405819225419,15000,5000,20,500
"82",100,500,0.4,265.169253859203,0.28,0.5,78.8917,119.26,167.321,0.999860410323032,15000,5000,20,500
