"","N","LEN","SIGMA","PHI","SIGMA.PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","R_hat_sigma","MCMCiter","Burn_in","N_thin","N_sample"
"49",100,500,50,0.4,1,0.35,0.91,37.542,48.49665,59.9674,1.00037615256024,15000,5000,20,500
"50",100,500,50,0.4,1,0.36,0.88,35.6159,45.7586,57.491,1.00127149210408,15000,5000,20,500
"51",500,500,50,0.4,1,0.384,0.908,39.3677,43.2299,48.1729,1.00151800798034,15000,5000,20,500
"52",500,500,50,0.4,1,0.394,0.916,41.6821,45.7031,50.5606,1.00030473440734,15000,5000,20,500
"53",500,500,50,0.4,1,0.366,0.94,39.9633,44.14045,49.3058,1.00114794677729,15000,5000,20,500
"54",500,500,50,0.4,1,0.396,0.936,40.5131,44.4116,49.1343,0.999573020673942,15000,5000,20,500
"55",500,500,50,0.4,1,0.388,0.916,39.6268,43.87435,48.2153,1.00430415435211,15000,5000,20,500
"56",500,500,50,0.4,1,0.398,0.91,43.969,48.44745,53.2883,1.00108666986798,15000,5000,20,500
"57",500,500,50,0.4,1,0.402,0.892,43.008,47.0406,52.596,1.00080614609888,15000,5000,20,500
"58",500,500,50,0.4,1,0.396,0.916,43.8451,48.8026,53.6701,0.99956151754631,15000,5000,20,500
"59",500,500,50,0.4,1,0.39,0.918,45.6384,51.04695,56.0368,0.999355247278028,15000,5000,20,500
"60",500,500,50,0.4,1,0.374,0.894,41.1577,46.0006,50.726,0.999743587458471,15000,5000,20,500
"61",500,500,50,0.4,1,0.388,0.92,42.7142,46.95735,52.3242,1.00372707474021,15000,5000,20,500
"62",500,500,50,0.4,1,0.376,0.936,44.3223,49.3071,54.4665,1.00459273580034,15000,5000,20,500
"63",500,500,50,0.4,1,0.328,0.922,48.5628,54.19325,60.0824,1.00159325318221,15000,5000,20,500
"64",500,500,50,0.4,1,0.348,0.926,43.3523,48.21705,53.2696,0.999776741058855,15000,5000,20,500
"65",500,500,50,0.4,1,0.4,0.924,44.2083,48.88835,53.9983,1.00650825853094,15000,5000,20,500
"66",500,500,50,0.4,1,0.368,0.928,46.1933,50.7031,56.7333,0.999540492331846,15000,5000,20,500
"67",500,500,50,0.4,1,0.388,0.93,45.8333,50.42225,55.7694,1.00359183272554,15000,5000,20,500
"68",500,500,50,0.4,1,0.386,0.906,47.2259,51.84215,57.2378,0.999384938915071,15000,5000,20,500
"69",500,500,50,0.4,1,0.392,0.934,42.2913,47.20885,51.8201,0.999134563886192,15000,5000,20,500
"70",500,500,50,0.4,1,0.382,0.912,45.2365,50.0063,55.5094,1.00260528837508,15000,5000,20,500
"71",500,500,50,0.4,1,0.394,0.928,44.9244,49.85495,54.8797,0.999209146520173,15000,5000,20,500
"72",500,500,50,0.4,1,0.422,0.912,39.8999,43.59435,48.3901,0.999722302994549,15000,5000,20,500
"73",500,500,50,0.4,1,0.404,0.91,38.7816,42.77225,47.0139,1.00002336099822,15000,5000,20,500
"74",500,500,50,0.4,1,0.358,0.904,38.9729,43.15205,48.0311,0.999976540851043,15000,5000,20,500
"75",500,500,50,0.4,1,0.396,0.912,45.0333,49.66345,55.1427,0.99922019800927,15000,5000,20,500
"76",500,500,50,0.4,1,0.376,0.926,41.8372,46.477,51.3926,1.00316748356568,15000,5000,20,500
"77",500,500,50,0.4,1,0.392,0.924,40.5094,44.61495,49.674,0.999228004784854,15000,5000,20,500
"78",500,500,50,0.4,1,0.41,0.92,43.1702,48.15115,52.7542,1.00108965286659,15000,5000,20,500
"79",500,500,50,0.4,1,0.412,0.932,38.9468,43.07235,47.2848,1.00272598253545,15000,5000,20,500
"80",500,500,50,0.4,1,0.386,0.94,44.4414,49.074,54.5127,1.00257730801666,15000,5000,20,500
"81",500,500,50,0.4,1,0.374,0.916,41.2318,45.7384,50.8747,1.00077559092214,15000,5000,20,500
"82",500,500,50,0.4,1,0.388,0.906,41.1952,45.15545,50.1673,1.00192140711186,15000,5000,20,500
"83",500,500,50,0.4,1,0.378,0.918,41.4905,45.65225,50.6635,1.00184291930475,15000,5000,20,500
"84",500,500,50,0.4,1,0.386,0.92,45.767,49.99855,55.6394,0.999693968964648,15000,5000,20,500
"85",500,500,50,0.4,1,0.394,0.902,43.0777,48.1081,52.7416,1.0004314928431,15000,5000,20,500
"86",500,500,50,0.4,1,0.368,0.932,47.0943,52.0168,58.0856,1.00079773415003,15000,5000,20,500
