"","N","LEN","DELTA","PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"51",500,500,50,0.4,0.384,0.914,41.2236,48.1599,57.1314,0.999726830358039,15000,5000,20,500
"52",500,500,50,0.4,0.368,0.91,42.3307,50.5222,58.8386,0.999474554204972,15000,5000,20,500
"53",500,500,50,0.4,0.368,0.914,42.5259,50.5478,59.0742,1.002559892657,15000,5000,20,500
"54",500,500,50,0.4,0.322,0.898,41.9202,49.61835,58.9839,1.0019629670742,15000,5000,20,500
"55",500,500,50,0.4,0.368,0.898,45.375,53.2865,63.2006,1.00604042120195,15000,5000,20,500
"56",500,500,50,0.4,0.324,0.906,41.0916,48.65485,57.3657,1.00079397379351,15000,5000,20,500
"57",500,500,50,0.4,0.42,0.93,45.6419,52.85205,61.4514,1.00169199470097,15000,5000,20,500
"58",500,500,50,0.4,0.354,0.914,36.1928,43.20525,50.8423,1.00060203289551,15000,5000,20,500
"59",500,500,50,0.4,0.358,0.912,43.9584,52.785,61.5251,1.00339319336273,15000,5000,20,500
"60",500,500,50,0.4,0.38,0.894,41.5239,49.32425,57.3436,0.999769515045992,15000,5000,20,500
"61",500,500,50,0.4,0.4,0.902,41.5747,49.3742,57.31,1.00200986867923,15000,5000,20,500
"62",500,500,50,0.4,0.37,0.912,44.6,53.3604,62.0613,1.00040575155706,15000,5000,20,500
"63",500,500,50,0.4,0.398,0.904,46.0636,54.3013,63.2608,1.00012103734227,15000,5000,20,500
"64",500,500,50,0.4,0.398,0.924,44.4102,52.07425,60.5577,1.00103871292475,15000,5000,20,500
"65",500,500,50,0.4,0.34,0.902,37.8631,45.3567,53.8386,1.00078965950863,15000,5000,20,500
"66",500,500,50,0.4,0.368,0.902,47.3833,55.6279,66.0871,1.00192842959669,15000,5000,20,500
"67",500,500,50,0.4,0.366,0.91,49.9826,59.0579,69.9518,0.999389727039255,15000,5000,20,500
"68",500,500,50,0.4,0.368,0.908,39.3783,45.72295,53.6183,1.00009357649451,15000,5000,20,500
"69",500,500,50,0.4,0.358,0.896,40.7241,47.5039,56.6293,1.00070307514116,15000,5000,20,500
"70",500,500,50,0.4,0.326,0.896,46.8238,56.4122,67.2975,0.999145397040413,15000,5000,20,500
"71",500,500,50,0.4,0.378,0.908,46.8091,55.2336,65.3343,1.00133481102345,15000,5000,20,500
"72",500,500,50,0.4,0.366,0.91,43.3381,50.82685,61.0567,1.00004314392518,15000,5000,20,500
"73",500,500,50,0.4,0.342,0.886,44.7254,53.16955,62.8965,1.00150905284792,15000,5000,20,500
"74",500,500,50,0.4,0.382,0.898,39.6427,46.8826,54.3028,1.00143377015021,15000,5000,20,500
"75",500,500,50,0.4,0.354,0.888,44.8591,52.2572,62.5641,1.00240535836207,15000,5000,20,500
"76",500,500,50,0.4,0.33,0.904,39.3208,46.59645,54.8802,0.999911321431189,15000,5000,20,500
"77",500,500,50,0.4,0.346,0.904,32.0627,37.7911,44.9447,0.999843265729118,15000,5000,20,500
"78",500,500,50,0.4,0.382,0.898,44.7977,53.22,62.4692,1.00029026897453,15000,5000,20,500
"79",500,500,50,0.4,0.292,0.904,38.2712,47.13225,55.8604,1.00072220673158,15000,5000,20,500
"80",500,500,50,0.4,0.36,0.904,38.1088,45.08275,52.576,1.00151538233818,15000,5000,20,500
"81",500,500,50,0.4,0.38,0.898,36.9611,43.75465,50.808,1.0000155891727,15000,5000,20,500
"82",500,500,50,0.4,0.342,0.89,53.8073,63.80355,77.0822,1.00071804155146,15000,5000,20,500
"83",500,500,50,0.4,0.366,0.912,43.7821,51.28365,60.5295,1.00102958771113,15000,5000,20,500
"84",500,500,50,0.4,0.366,0.91,41.8801,49.9531,58.0431,1.00025474073495,15000,5000,20,500
"85",500,500,50,0.4,0.334,0.922,38.8072,46.0687,53.7026,0.999740397553327,15000,5000,20,500
"86",500,500,50,0.4,0.356,0.9,38.481,45.9568,54.5553,1.00207661166073,15000,5000,20,500
"87",500,500,50,0.4,0.366,0.904,41.0869,48.8012,56.929,1.00147652989357,15000,5000,20,500
"88",500,500,50,0.4,0.36,0.93,41.1362,49.1649,57.9761,1.00339367126561,15000,5000,20,500
"89",500,500,50,0.4,0.33,0.902,41.3354,49.68155,58.5593,1.00080678343522,15000,5000,20,500
"90",500,500,50,0.4,0.318,0.902,41.4252,50.5636,60.0365,0.999770933752047,15000,5000,20,500
"91",500,500,50,0.4,0.376,0.896,42.2941,50.50255,59.2567,1.00375376087052,15000,5000,20,500
"92",500,500,50,0.4,0.35,0.898,41.1826,48.9423,58.1093,0.999951836232048,15000,5000,20,500
"93",500,500,50,0.4,0.328,0.896,38.087,45.4324,54.1786,1.00159187269873,15000,5000,20,500
"94",500,500,50,0.4,0.398,0.914,49.1741,57.82365,68.9723,1.00019917206905,15000,5000,20,500
"95",500,500,50,0.4,0.33,0.874,43.4667,52.26805,62.0338,0.999740325316107,15000,5000,20,500
"96",500,500,50,0.4,0.396,0.9,37.7603,44.05605,51.6952,1.00277983128802,15000,5000,20,500
"97",500,500,50,0.4,0.358,0.902,47.7749,57.2823,67.5653,0.999409464334818,15000,5000,20,500
"98",500,500,50,0.4,0.344,0.904,42.4943,51.38985,60.658,1.00096790993848,15000,5000,20,500
"99",500,500,50,0.4,0.364,0.91,39.2716,45.92855,54.0121,1.00043114802975,15000,5000,20,500
"100",500,500,50,0.4,0.376,0.91,42.4177,49.79365,58.4802,1.00114384926922,15000,5000,20,500
"101",1000,500,50,0.4,0.377,0.897,41.9128,47.14605,52.5669,1.00046530593911,15000,5000,20,500
"102",1000,500,50,0.4,0.386,0.903,44.976,50.37705,56.5027,1.00162429648686,15000,5000,20,500
"103",1000,500,50,0.4,0.355,0.89,46.3526,52.76885,59.0576,1.00113293022665,15000,5000,20,500
"104",1000,500,50,0.4,0.346,0.898,40.1277,45.19775,50.9195,0.999712992050057,15000,5000,20,500
"105",1000,500,50,0.4,0.342,0.91,49.0961,55.9316,62.8803,1.00112920464522,15000,5000,20,500
"106",1000,500,50,0.4,0.354,0.907,42.2428,47.59155,53.3793,1.00300664948743,15000,5000,20,500
"107",1000,500,50,0.4,0.392,0.905,45.7526,51.4893,57.4219,1.00486440022518,15000,5000,20,500
"108",1000,500,50,0.4,0.378,0.892,45.4473,51.0855,57.5675,1.00312380574755,15000,5000,20,500
"109",1000,500,50,0.4,0.39,0.902,47.2288,52.85985,59.6535,1.00343039574587,15000,5000,20,500
"110",1000,500,50,0.4,0.329,0.9,43.6217,49.72715,55.921,1.00159798862963,15000,5000,20,500
"111",1000,500,50,0.4,0.376,0.903,49.194,55.6221,62.585,0.999858455960988,15000,5000,20,500
"112",1000,500,50,0.4,0.366,0.898,49.8222,56.106,63.0785,1.00074444912905,15000,5000,20,500
"113",1000,500,50,0.4,0.371,0.903,45.0765,50.6333,57.0427,1.00172535032708,15000,5000,20,500
"114",1000,500,50,0.4,0.381,0.903,47.4709,53.25295,59.9104,0.99974504235409,15000,5000,20,500
"115",1000,500,50,0.4,0.347,0.917,47.5378,53.7073,60.8897,1.00019965076423,15000,5000,20,500
"116",1000,500,50,0.4,0.319,0.893,40.7023,46.16775,52.2725,1.00190288033607,15000,5000,20,500
"117",1000,500,50,0.4,0.344,0.905,43.4772,49.7789,55.5604,1.00048678024051,15000,5000,20,500
"118",1000,500,50,0.4,0.369,0.903,43.0189,48.0995,53.6079,0.999232645331259,15000,5000,20,500
"119",1000,500,50,0.4,0.358,0.901,48.2601,54.97095,61.7897,1.00017865476519,15000,5000,20,500
"120",1000,500,50,0.4,0.391,0.912,45.3327,50.60655,56.7811,1.00036475728811,15000,5000,20,500
"121",1000,500,50,0.4,0.353,0.894,44.2729,50.12755,55.8934,0.999591020746076,15000,5000,20,500
"122",1000,500,50,0.4,0.369,0.896,50.8365,57.2788,64.7159,0.999749043889001,15000,5000,20,500
"123",1000,500,50,0.4,0.355,0.899,42.9865,48.55175,54.6331,0.999476236145273,15000,5000,20,500
"124",1000,500,50,0.4,0.373,0.897,45.1313,50.80775,56.9613,1.00094949133264,15000,5000,20,500
"125",1000,500,50,0.4,0.355,0.899,40.6617,45.464,50.8388,1.00055415052757,15000,5000,20,500
"126",1000,500,50,0.4,0.36,0.887,41.8412,47.4539,53.1438,0.99939440439425,15000,5000,20,500
"127",1000,500,50,0.4,0.378,0.889,46.7929,51.96155,58.8775,0.999111277622906,15000,5000,20,500
"128",1000,500,50,0.4,0.367,0.906,41.7447,47.69245,53.142,0.999933689777372,15000,5000,20,500
"129",1000,500,50,0.4,0.357,0.893,49.4798,55.63885,63.2177,1.00248708966472,15000,5000,20,500
"130",1000,500,50,0.4,0.382,0.884,47.5978,52.96205,60.0623,1.00186674095929,15000,5000,20,500
"131",1000,500,50,0.4,0.356,0.893,42.9415,48.4265,54.1198,1.00111264721099,15000,5000,20,500
"132",1000,500,50,0.4,0.349,0.879,42.5303,48.08085,54.2139,1.00436868842274,15000,5000,20,500
"133",1000,500,50,0.4,0.368,0.909,44.8893,50.13435,56.8393,1.00099868633585,15000,5000,20,500
"134",1000,500,50,0.4,0.354,0.9,45.5825,51.25115,57.4596,1.00290605583343,15000,5000,20,500
"135",1000,500,50,0.4,0.375,0.919,40.2863,45.9003,50.7893,1.00016343212682,15000,5000,20,500
"136",1000,500,50,0.4,0.341,0.903,43.1122,48.3775,54.214,1.00236676080538,15000,5000,20,500
"137",1000,500,50,0.4,0.361,0.911,42.4579,48.14995,53.5068,1.00287328092466,15000,5000,20,500
"138",1000,500,50,0.4,0.345,0.899,46.3816,51.95545,58.6373,1.00015301441364,15000,5000,20,500
"139",1000,500,50,0.4,0.351,0.894,46.9198,53.3221,59.7063,1.00197724757667,15000,5000,20,500
"140",1000,500,50,0.4,0.364,0.901,43.2968,48.2976,54.5986,1.0016003231155,15000,5000,20,500
"141",1000,500,50,0.4,0.348,0.887,41.8081,47.1745,53.1363,0.999985840090506,15000,5000,20,500
"142",1000,500,50,0.4,0.37,0.913,45.4276,50.5267,56.7886,0.999383353274951,15000,5000,20,500
"143",1000,500,50,0.4,0.367,0.891,44.646,50.5861,56.5573,1.00157911143186,15000,5000,20,500
"144",1000,500,50,0.4,0.351,0.905,45.7651,51.26105,57.5109,1.00171532855293,15000,5000,20,500
"145",1000,500,50,0.4,0.351,0.894,47.5826,53.3793,59.9586,1.00164815031419,15000,5000,20,500
"146",1000,500,50,0.4,0.355,0.892,42.0621,47.1639,53.062,1.00049715226114,15000,5000,20,500
"147",1000,500,50,0.4,0.402,0.913,43.4131,48.0863,53.9571,1.00287615826066,15000,5000,20,500
"148",1000,500,50,0.4,0.349,0.89,46.4784,52.9951,59.7032,0.999619749018482,15000,5000,20,500
"149",1000,500,50,0.4,0.362,0.89,43.2515,48.90715,54.9377,1.00201889384509,15000,5000,20,500
"150",1000,500,50,0.4,0.37,0.888,46.1724,52.088,58.2245,1.00100787185038,15000,5000,20,500
"151",100,1000,50,0.4,0.36,0.94,25.6602,36.82135,50.7603,0.999472864803527,15000,5000,20,500
"152",100,1000,50,0.4,0.38,0.91,40.154,56.9265,78.3834,1.0004756435036,15000,5000,20,500
"153",100,1000,50,0.4,0.32,0.96,32.8665,49.9291,71.1185,1.00277588517634,15000,5000,20,500
"154",100,1000,50,0.4,0.37,0.92,32.2742,48.63055,67.5467,1.00255452153808,15000,5000,20,500
"155",100,1000,50,0.4,0.35,0.95,30.1527,42.8415,61.0728,1.00437192057113,15000,5000,20,500
"156",100,1000,50,0.4,0.44,0.92,31.8651,43.37495,59.0748,0.999810281351695,15000,5000,20,500
"157",100,1000,50,0.4,0.47,0.95,36.3031,49.832,68.7223,1.00075318313592,15000,5000,20,500
"158",100,1000,50,0.4,0.38,0.93,30.823,46.198,63.3048,1.0026554324406,15000,5000,20,500
"159",100,1000,50,0.4,0.31,0.95,51.1392,75.66275,111.889,1.00176749109896,15000,5000,20,500
"160",100,1000,50,0.4,0.45,0.93,27.1409,37.0127,50.312,1.00087429257398,15000,5000,20,500
"161",100,1000,50,0.4,0.43,0.91,26.4715,35.6594,48.1338,1.00074307869639,15000,5000,20,500
"162",100,1000,50,0.4,0.4,0.95,25.9539,37.2929,49.9541,0.999413868427886,15000,5000,20,500
"163",100,1000,50,0.4,0.36,0.96,45.8299,66.712,93.4729,0.999303482803304,15000,5000,20,500
"164",100,1000,50,0.4,0.42,0.95,34.7395,48.68515,66.1194,1.0029224993217,15000,5000,20,500
"165",100,1000,50,0.4,0.41,0.95,39.057,54.61935,74.1826,0.999684299263544,15000,5000,20,500
"166",100,1000,50,0.4,0.26,0.87,33.2451,51.75085,77.1941,0.999497573056076,15000,5000,20,500
"167",100,1000,50,0.4,0.43,0.95,41.7655,56.3667,75.8121,1.00121201794123,15000,5000,20,500
"168",100,1000,50,0.4,0.4,0.9,39.1952,56.8917,77.8433,0.999242824091522,15000,5000,20,500
"169",100,1000,50,0.4,0.42,0.95,35.8678,50.2181,69.8135,1.00139310926822,15000,5000,20,500
"170",100,1000,50,0.4,0.32,0.91,42.3023,62.41235,87.4012,0.999160178491455,15000,5000,20,500
"171",100,1000,50,0.4,0.39,0.93,36.5693,50.0578,68.8109,1.0013863510805,15000,5000,20,500
"172",100,1000,50,0.4,0.3,0.96,41.6298,64.7115,94.1096,1.00208023773388,15000,5000,20,500
"173",100,1000,50,0.4,0.34,0.93,30.5931,43.60075,62.2763,0.999806947625009,15000,5000,20,500
"174",100,1000,50,0.4,0.31,0.91,26.02,38.27995,55.1944,1.00180662871286,15000,5000,20,500
"175",100,1000,50,0.4,0.33,0.92,30.1008,44.6984,63.6764,1.00260027248924,15000,5000,20,500
"176",100,1000,50,0.4,0.33,0.98,43.1236,67.14865,97.3012,1.00871919018607,15000,5000,20,500
"177",100,1000,50,0.4,0.43,0.95,31.4306,42.3731,57.3507,1.00020921422293,15000,5000,20,500
"178",100,1000,50,0.4,0.36,0.99,34.5103,49.25645,67.6944,0.999476250265367,15000,5000,20,500
"179",100,1000,50,0.4,0.4,0.94,36.6347,49.56215,68.3774,1.00105323904554,15000,5000,20,500
"180",100,1000,50,0.4,0.35,0.94,53.6353,78.2188,113.766,1.0010227365938,15000,5000,20,500
"181",100,1000,50,0.4,0.4,0.95,30.4642,43.0957,58.1662,1.0008727191197,15000,5000,20,500
"182",100,1000,50,0.4,0.33,0.97,47.4145,70.5368,98.8147,1.00139638351605,15000,5000,20,500
"183",100,1000,50,0.4,0.46,0.95,30.5743,40.9468,54.9229,1.00143549259361,15000,5000,20,500
"184",100,1000,50,0.4,0.35,0.91,32.1294,44.8659,63.5605,1.00206949677324,15000,5000,20,500
"185",100,1000,50,0.4,0.36,0.97,37.9947,53.9958,75.5375,1.00062230683575,15000,5000,20,500
"186",100,1000,50,0.4,0.35,0.93,47.9396,71.51135,99.9119,1.00194276852032,15000,5000,20,500
"187",100,1000,50,0.4,0.42,0.96,32.8226,45.832,62.0251,0.999883341248376,15000,5000,20,500
"188",100,1000,50,0.4,0.31,0.99,28.8393,40.8944,59.6009,0.999661974181136,15000,5000,20,500
