"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"49",100,500,50,0.4,1,0.35,0.89,27.5984,40.5351,58.9101,1.00062651259323,15000,5000,20,500
"50",100,500,50,0.4,1,0.37,0.89,27.3321,40.6711,57.1597,1.00245276808843,15000,5000,20,500
"51",500,500,50,0.4,1,0.35,0.9,44.4874,52.1041,62.4468,1.00063736431385,15000,5000,20,500
"52",500,500,50,0.4,1,0.372,0.892,43.1646,50.65195,59.378,1.00378209373944,15000,5000,20,500
"53",500,500,50,0.4,1,0.352,0.89,44.1917,51.95135,60.7064,1.00313701478434,15000,5000,20,500
"54",500,500,50,0.4,1,0.394,0.89,41.1408,48.3323,57.0396,1.00179123979856,15000,5000,20,500
"55",500,500,50,0.4,1,0.374,0.918,42.3253,49.706,58.1828,1.0024892259425,15000,5000,20,500
"56",500,500,50,0.4,1,0.354,0.902,36.8484,43.4883,51.1811,1.00202425787292,15000,5000,20,500
"57",500,500,50,0.4,1,0.372,0.908,44.4418,53.587,62.9452,0.999335261194093,15000,5000,20,500
"58",500,500,50,0.4,1,0.404,0.9,38.8024,45.43165,53.0755,1.00218963609352,15000,5000,20,500
"59",500,500,50,0.4,1,0.388,0.922,37.7087,44.88845,51.7285,1.00301226840221,15000,5000,20,500
"60",500,500,50,0.4,1,0.342,0.908,42.1895,50.1253,59.3328,1.00123737698896,15000,5000,20,500
"61",500,500,50,0.4,1,0.368,0.928,43.8533,51.00705,60.4042,1.00206270541455,15000,5000,20,500
"62",500,500,50,0.4,1,0.392,0.896,48.7822,58.4101,69.0112,1.00083085821695,15000,5000,20,500
"63",500,500,50,0.4,1,0.384,0.902,42.7816,50.49995,59.2296,1.0001220376652,15000,5000,20,500
"64",500,500,50,0.4,1,0.356,0.896,40.318,47.6036,56.6667,1.00389052249596,15000,5000,20,500
"65",500,500,50,0.4,1,0.386,0.938,35.7868,41.97905,49.1045,1.0011461929334,15000,5000,20,500
"66",500,500,50,0.4,1,0.378,0.902,40.8856,47.8066,56.2386,1.00303466676084,15000,5000,20,500
"67",500,500,50,0.4,1,0.354,0.882,36.3141,43.2214,50.2564,1.00178569774873,15000,5000,20,500
"68",500,500,50,0.4,1,0.43,0.9,45.8454,53.31535,62.3774,0.999502813426553,15000,5000,20,500
"69",500,500,50,0.4,1,0.348,0.92,42.2541,48.9098,58.0195,1.00248841698169,15000,5000,20,500
"70",500,500,50,0.4,1,0.416,0.904,42.4706,49.66105,58.14,1.00121007910849,15000,5000,20,500
"71",500,500,50,0.4,1,0.378,0.906,41.2911,48.43045,56.862,0.999292728031423,15000,5000,20,500
"72",500,500,50,0.4,1,0.392,0.908,48.6213,57.6455,67.4078,0.999071702938143,15000,5000,20,500
"73",500,500,50,0.4,1,0.38,0.898,45.9813,55.236,64.4535,1.00214331389182,15000,5000,20,500
"74",500,500,50,0.4,1,0.412,0.91,47.6285,55.8994,64.6684,1.00134958957491,15000,5000,20,500
"75",500,500,50,0.4,1,0.362,0.882,46.0671,54.3551,64.4901,0.99953477701397,15000,5000,20,500
"76",500,500,50,0.4,1,0.37,0.888,43.3958,52.01475,61.0492,1.00027340889712,15000,5000,20,500
"77",500,500,50,0.4,1,0.374,0.89,46.6449,55.61925,64.9534,1.00239999408326,15000,5000,20,500
