"","N","LEN","SIGMA","PHI","Pcap","Pstay","sigma_lower","sigma_med","sigma_upper","phi_lower","phi_med","phi_upper","R_hat_sigma","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"35",100,500,50,0.4,0.35,0.92,35.4753,46.3533,59.1543,0.278628,0.372324,0.472108,0.999232462604096,0.999351490558783,15000,5000,20,500
"36",100,500,50,0.4,0.24,0.84,51.1769,73.6301,105.655,0.202183,0.284292,0.388747,1.00092898363948,1.00218277937574,15000,5000,20,500
"37",100,500,50,0.4,0.4,0.9,35.0134,45.3273,56.6945,0.345637,0.4396465,0.541115,1.00260427165813,1.00147293246902,15000,5000,20,500
"38",100,500,50,0.4,0.31,0.87,39.6278,51.53845,68.2297,0.255068,0.344962,0.447579,1.00218186087793,1.00277312028229,15000,5000,20,500
"39",100,500,50,0.4,0.47,0.94,32.4239,39.15955,49.5467,0.407055,0.5069035,0.615048,1.00029017797299,1.00027350982257,15000,5000,20,500
"40",100,500,50,0.4,0.35,0.93,46.0591,60.1287,77.6589,0.29346,0.391139,0.488637,1.00215293402146,1.00420354364848,15000,5000,20,500
"41",100,500,50,0.4,0.38,0.93,36.9083,48.1157,61.4444,0.320547,0.4162335,0.517061,1.00182849895613,0.999901589279948,15000,5000,20,500
"42",100,500,50,0.4,0.35,0.9,36.0928,48.6975,61.6293,0.282627,0.3827335,0.480221,1.00038184434817,0.999915058462759,15000,5000,20,500
"43",100,500,50,0.4,0.42,0.98,41.3948,53.46495,67.5797,0.358293,0.450905,0.56351,0.999778855524743,1.00065502648231,15000,5000,20,500
"44",100,500,50,0.4,0.45,0.97,41.624,52.6868,66.6751,0.385127,0.475321,0.581838,1.0009041194571,1.00050385056892,15000,5000,20,500
"45",100,500,50,0.4,0.37,0.92,41.9098,54.5018,69.8488,0.297441,0.4107305,0.507961,0.999275374671253,1.00213672595416,15000,5000,20,500
"46",100,500,50,0.4,0.31,0.9,39.8072,52.10065,68.3187,0.243485,0.339456,0.432286,1.00079086112933,1.00007238274067,15000,5000,20,500
"47",100,500,50,0.4,0.36,0.91,42.5742,55.68845,72.2799,0.304295,0.406406,0.508197,1.00052474474671,1.00367379909252,15000,5000,20,500
"48",100,500,50,0.4,0.37,0.96,38.2753,49.6598,62.9752,0.303399,0.393882,0.499601,1.00089168992558,1.00231012307128,15000,5000,20,500
"49",100,500,50,0.4,0.38,0.95,44.7135,57.9555,75.0672,0.321893,0.4246725,0.527125,0.999477534058739,1.00032673482715,15000,5000,20,500
"50",100,500,50,0.4,0.35,0.9,44.9377,59.73525,77.1778,0.298604,0.40451,0.517635,1.00012424082045,0.999897015173583,15000,5000,20,500
"51",500,500,50,0.4,0.366,0.914,44.9551,49.60965,55.7105,0.35547,0.4018805,0.446622,0.999919847943343,0.999696809558063,15000,5000,20,500
"52",500,500,50,0.4,0.382,0.928,42.779,47.20845,53.06,0.368813,0.4127065,0.458595,1.00100018022464,0.999460134316173,15000,5000,20,500
"53",500,500,50,0.4,0.354,0.92,42.5953,47.51215,52.9626,0.339123,0.3815645,0.43001,1.00063094820312,1.00129968648594,15000,5000,20,500
"54",500,500,50,0.4,0.348,0.922,42.1097,47.36575,53.3905,0.332526,0.377429,0.423925,1.00048274989866,1.00073002377066,15000,5000,20,500
"55",500,500,50,0.4,0.382,0.938,43.3648,48.06425,53.5767,0.362343,0.409195,0.450189,1.00006487319299,1.00136815814905,15000,5000,20,500
"56",500,500,50,0.4,0.378,0.916,46.5868,52.14855,57.9497,0.369508,0.413438,0.458581,0.999814452325878,1.0014894462593,15000,5000,20,500
"57",500,500,50,0.4,0.408,0.934,49.2043,54.82585,60.2466,0.399646,0.444317,0.489135,1.00136212222178,0.999754239986435,15000,5000,20,500
"58",500,500,50,0.4,0.336,0.922,47.4876,53.2413,60.0359,0.316211,0.3605155,0.402425,0.999586094567898,1.00164364649367,15000,5000,20,500
"59",500,500,50,0.4,0.352,0.914,47.4414,53.00075,59.21,0.33369,0.3819605,0.424291,1.00093441600607,1.001618756347,15000,5000,20,500
"60",500,500,50,0.4,0.334,0.912,42.7856,47.5736,53.675,0.317355,0.362614,0.402917,1.00163005497207,0.999766379796431,15000,5000,20,500
"61",500,500,50,0.4,0.376,0.918,44.7686,49.66775,55.442,0.365103,0.4052255,0.451561,1.00244967177333,1.00114513142133,15000,5000,20,500
"62",500,500,50,0.4,0.356,0.918,45.06,50.14205,56.12,0.345344,0.38788,0.435806,0.999264750465666,1.0002759158866,15000,5000,20,500
"63",500,500,50,0.4,0.39,0.92,45.8727,50.9773,56.7615,0.380682,0.426294,0.472247,0.999389060257863,1.00391244526321,15000,5000,20,500
"64",500,500,50,0.4,0.364,0.924,46.1765,51.44305,57.4338,0.348915,0.397432,0.441352,1.0004492686599,1.00097389241208,15000,5000,20,500
"65",500,500,50,0.4,0.35,0.926,43.5698,48.5759,54.1679,0.333334,0.3773845,0.420298,0.999976737040513,1.00028188580688,15000,5000,20,500
"66",500,500,50,0.4,0.39,0.922,47.8501,53.79425,59.6175,0.382648,0.423034,0.474047,1.00245438540436,1.00231123329997,15000,5000,20,500
"67",500,500,50,0.4,0.362,0.924,43.6224,48.67705,53.923,0.348834,0.3922765,0.440092,1.00088208191735,1.00198699433901,15000,5000,20,500
"68",500,500,50,0.4,0.378,0.932,42.8139,47.3237,52.5103,0.360911,0.404231,0.452647,1.00110515583075,1.00190816252937,15000,5000,20,500
"69",500,500,50,0.4,0.356,0.912,46.5508,51.36015,57.4116,0.340247,0.3835765,0.426383,1.00178297039403,1.00110777962512,15000,5000,20,500
"70",500,500,50,0.4,0.338,0.91,43.2412,48.2305,54.2636,0.323917,0.36569,0.412573,1.00214038228393,0.999127802651154,15000,5000,20,500
"71",500,500,50,0.4,0.338,0.906,50.3791,56.80885,63.1707,0.329521,0.375048,0.421451,1.0013214593284,1.00272809293175,15000,5000,20,500
"72",500,500,50,0.4,0.36,0.896,47.0186,53.04965,59.0578,0.358229,0.400834,0.451331,1.0000283470123,1.00229703296854,15000,5000,20,500
"73",500,500,50,0.4,0.372,0.92,41.607,46.86135,51.6939,0.356671,0.4010095,0.444986,1.00052436531638,0.999647192454933,15000,5000,20,500
"74",500,500,50,0.4,0.398,0.928,45.0733,50.25785,55.4904,0.383971,0.4339735,0.473221,1.00363138489183,1.00089424285352,15000,5000,20,500
"75",500,500,50,0.4,0.384,0.926,45.9619,51.04855,57.1596,0.372951,0.4181775,0.467421,1.00024126921882,1.00048381251019,15000,5000,20,500
"76",500,500,50,0.4,0.342,0.93,43.15,48.8171,54.2787,0.323103,0.3695125,0.41277,1.00194810003526,1.00088739294493,15000,5000,20,500
"77",500,500,50,0.4,0.35,0.916,45.9535,51.7325,57.7128,0.343388,0.383289,0.432531,1.00185389778604,1.00356093935466,15000,5000,20,500
"78",500,500,50,0.4,0.38,0.936,44.0336,49.51635,55.2023,0.3616,0.406844,0.451131,1.00119491726587,1.00121819368324,15000,5000,20,500
"79",500,500,50,0.4,0.338,0.922,44.2047,49.6694,55.5179,0.320463,0.3668005,0.408151,0.999449307618435,1.00422170638329,15000,5000,20,500
"80",500,500,50,0.4,0.358,0.934,45.0148,50.8302,56.245,0.338222,0.3837445,0.428178,1.00073212719416,1.00243297686078,15000,5000,20,500
"81",500,500,50,0.4,0.388,0.924,47.5405,53.02905,58.7435,0.375655,0.424513,0.469616,0.999339806536214,1.0005206455033,15000,5000,20,500
"82",500,500,50,0.4,0.388,0.914,43.6233,48.2045,53.8481,0.37348,0.420925,0.463682,0.999301821694612,1.00251036276021,15000,5000,20,500
"83",500,500,50,0.4,0.406,0.924,43.6169,48.4695,53.7544,0.39558,0.4411595,0.487724,0.999902887573728,1.00205982389389,15000,5000,20,500
"84",500,500,50,0.4,0.394,0.924,44.0622,49.0189,54.3059,0.383982,0.4265725,0.473623,1.00284309287799,1.00249178560268,15000,5000,20,500
"85",500,500,50,0.4,0.382,0.928,43.1611,48.0537,53.45,0.371323,0.4123185,0.462401,1.00055530561096,1.00011872820728,15000,5000,20,500
"86",500,500,50,0.4,0.34,0.92,42.2422,47.26685,53.0045,0.327427,0.369998,0.417811,1.00139216100983,1.0007126471782,15000,5000,20,500
"87",500,500,50,0.4,0.382,0.914,45.6934,50.9458,56.5604,0.370799,0.4147825,0.461855,0.999751134876968,1.00217771675572,15000,5000,20,500
"88",500,500,50,0.4,0.414,0.926,44.2713,48.89115,54.0557,0.395835,0.4465595,0.492838,1.00132989384453,1.0001185400223,15000,5000,20,500
"89",500,500,50,0.4,0.394,0.93,41.484,46.4556,51.2558,0.378019,0.422213,0.469078,1.00025412980234,0.999817660067428,15000,5000,20,500
"90",500,500,50,0.4,0.332,0.902,41.7611,46.58985,52.2112,0.318865,0.361646,0.409184,1.00122441783266,1.00018248851627,15000,5000,20,500
"91",500,500,50,0.4,0.356,0.93,47.7922,53.52925,59.8774,0.344222,0.389171,0.432072,1.00146504998176,1.00079880770166,15000,5000,20,500
"92",500,500,50,0.4,0.374,0.922,46.7481,51.6856,57.991,0.365673,0.4049355,0.453578,0.999578040361769,1.00060206920057,15000,5000,20,500
"93",500,500,50,0.4,0.354,0.938,40.636,45.0235,50.5515,0.341466,0.3858865,0.432179,1.00358469971112,1.00212961519875,15000,5000,20,500
"94",500,500,50,0.4,0.372,0.912,49.2067,55.47155,61.7269,0.356991,0.4055075,0.449291,1.00247065550335,1.00104437355711,15000,5000,20,500
"95",500,500,50,0.4,0.412,0.906,39.2934,43.3569,48.3086,0.401512,0.4471295,0.492664,1.00064461883462,1.00163812623544,15000,5000,20,500
