"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"33",100,500,0.4,46.1889706389047,0.44,0.92,25.529,36.3641,49.0053,0.37442,0.4809235,0.58114,1.00075707887798,1.00038341730461,15000,5000,20,500
"34",100,500,0.4,266.051656508353,0.27,0.56,82.5808,165.6175,366.671,0.228846,0.3998605,0.64536,1.07719032178107,1.06088102358055,15000,5000,20,500
"35",100,500,0.4,172.763771021273,0.28,0.74,108.584,216.305,431.133,0.283415,0.467967,0.715907,1.06721906248843,1.06037254574415,15000,5000,20,500
"36",100,500,0.4,72.3393210559152,0.34,0.88,41.0505,63.68355,95.7725,0.283861,0.389332,0.496013,1.01627642635361,1.00608709274147,15000,5000,20,500
"37",100,500,0.4,145.677965376526,0.25,0.67,97.1579,226.792,485.308,0.25708,0.446721,0.728328,1.09131125522183,1.07068894922296,25000,5000,20,1000
"38",100,500,0.4,237.721044034697,0.19,0.54,111.066,425.3175,1155.37,0.214675,0.4702085,0.954804,1.07834405646398,1.08575612409213,85000,5000,20,4000
"39",100,500,0.4,239.139542740304,0.27,0.57,81.4549,185.5295,430.862,0.259458,0.4319205,0.714604,1.02353945212531,1.02530034834698,25000,5000,20,1000
"40",100,500,0.4,232.726941462606,0.23,0.52,78.6369,168.59,342.692,0.220891,0.355123,0.562488,1.00534399249161,1.00660771632696,15000,5000,20,500
"41",100,500,0.4,30.3206241386943,0.31,0.97,21.0463,30.95295,45.2149,0.244849,0.3346835,0.438558,1.00565646647274,0.99917715646706,15000,5000,20,500
"42",100,500,0.4,141.930319101084,0.35,0.7,91.2548,220.3655,456.585,0.396091,0.5935975,0.924759,1.08901061266807,1.07279675190672,35000,5000,20,1500
"43",100,500,0.4,80.5659612966701,0.34,0.83,58.4226,96.07305,153.179,0.306296,0.432476,0.566525,1.01146227802334,1.00342866374539,15000,5000,20,500
"44",100,500,0.4,107.324334597215,0.33,0.83,78.6346,167.5105,349.205,0.309548,0.4923445,0.76426,1.0119236308317,1.01472190365066,25000,5000,20,1000
"45",100,500,0.4,101.460649634246,0.33,0.81,53.6402,90.2817,141.493,0.292792,0.4209945,0.543815,1.01912865854674,1.00714925059314,15000,5000,20,500
"46",100,500,0.4,134.425540473312,0.39,0.78,83.4848,148.4215,271.968,0.390151,0.564641,0.778933,1.07592548912713,1.04553630212839,15000,5000,20,500
"47",100,500,0.4,103.662059097551,0.35,0.77,67.7701,109.6885,176.251,0.327749,0.465137,0.607872,1.02345565547245,1.00494818277702,15000,5000,20,500
"48",100,500,0.4,146.02311614668,0.39,0.72,65.1457,103.933,162.057,0.366395,0.496028,0.627323,1.01749818985623,1.02574640487018,15000,5000,20,500
"49",100,500,0.4,219.646959104575,0.28,0.67,89.4491,189.527,494.532,0.26705,0.449057,0.808355,1.04907921175306,1.05746873444037,15000,5000,20,500
"50",100,500,0.4,235.049365842715,0.24,0.55,74.5535,167.298,343.083,0.229531,0.3650925,0.576173,1.09586415614111,1.07756498812596,15000,5000,20,500
"51",100,500,0.4,108.182166665792,0.37,0.78,59.8974,100.577,156.616,0.344031,0.4586205,0.597514,1.00038729563609,1.00070040987132,15000,5000,20,500
"52",100,500,0.4,29.3507519620471,0.35,0.93,30.6816,46.2369,66.7283,0.295074,0.3880465,0.492509,1.00060933943849,1.00405866257189,15000,5000,20,500
"53",100,500,0.4,136.296376250684,0.32,0.75,101.367,233.3765,498.75,0.359417,0.5589965,0.897443,1.06659930751771,1.0562115365405,25000,5000,20,1000
"54",100,500,0.4,149.900932360906,0.3,0.71,80.5676,147.4905,302.47,0.283098,0.4273125,0.634143,1.01652645322792,1.007219182948,15000,5000,20,500
"55",100,500,0.4,208.430107377935,0.29,0.56,102.686,242.6415,526.028,0.296507,0.5131345,0.835261,1.04463292064029,1.03704148821678,25000,5000,20,1000
"56",100,500,0.4,96.6221290268004,0.24,0.74,68.4184,157.13,489.766,0.203933,0.3603995,0.687881,1.04650484058125,1.06824642828352,35000,5000,20,1500
"57",100,500,0.4,88.6654271627776,0.35,0.82,40.8958,64.5423,98.8259,0.294216,0.402015,0.50809,1.01870529498364,1.00134628513975,15000,5000,20,500
"58",100,500,0.4,58.9452159358189,0.33,0.88,36.6638,55.21015,82.7552,0.277913,0.3834955,0.487615,1.00307367066096,0.999578086653262,15000,5000,20,500
"59",100,500,0.4,106.347874542698,0.41,0.82,85.4851,150.6725,274.856,0.430215,0.5996395,0.832449,1.01354187926851,1.01090582390903,15000,5000,20,500
"60",100,500,0.4,61.092375877779,0.4,0.86,31.4599,46.0386,65.4881,0.344785,0.4340325,0.542754,1.01109579988613,0.999312776736737,15000,5000,20,500
"61",100,500,0.4,294.753348177765,0.19,0.54,129.391,429.068,1072.75,0.214877,0.479753,0.933738,1.06030540793654,1.05854638624101,55000,5000,20,2500
"62",100,500,0.4,235.813444349915,0.21,0.58,75.2372,184.648,525.899,0.179559,0.342667,0.615265,1.08262664149962,1.09881938337616,25000,5000,20,1000
"63",100,500,0.4,29.0523620392196,0.33,0.96,22.3016,32.81035,47.1705,0.267302,0.356558,0.460573,1.00321215485521,1.00202897281769,15000,5000,20,500
"64",100,500,0.4,99.5614319248125,0.32,0.83,89.9072,196.1215,430.888,0.303982,0.5054675,0.83523,1.01363910400342,1.0172212562101,25000,5000,20,1000
"65",100,500,0.4,276.345078949817,0.17,0.57,197.964,733.912,1474.45,0.29628,0.6213925,0.999118,1.09090838888536,1.05028545600646,85000,5000,20,4000
"66",100,500,0.4,103.099060019013,0.36,0.81,98.7768,215.9685,458.411,0.417903,0.6148905,0.941174,1.00929060173108,1.00852828607767,15000,5000,20,500
"67",100,500,0.4,94.4423531205393,0.33,0.81,44.7619,71.6834,107.962,0.282179,0.3836445,0.495622,1.02307486508495,1.00067632499333,15000,5000,20,500
"68",100,500,0.4,35.2486101235263,0.33,0.92,20.2582,28.6232,41.904,0.269663,0.357381,0.456503,1.00373627815314,0.999230778679847,15000,5000,20,500
"69",100,500,0.4,21.7703854572028,0.39,0.97,16.7593,23.7765,32.7451,0.327406,0.417762,0.519844,1.00263785478841,1.00141917432719,15000,5000,20,500
"70",100,500,0.4,106.332654254511,0.27,0.76,82.1403,187.9845,452.921,0.263777,0.4316135,0.745344,1.06709487252173,1.07999116916742,25000,5000,20,1000
"71",100,500,0.4,290.865640828852,0.15,0.5,84.6956,382.217,1202.45,0.133831,0.357664,0.858876,1.09373765294886,1.09927888681821,155000,5000,20,7500
"72",100,500,0.4,48.8308353885077,0.36,0.85,27.4809,40.7277,56.5517,0.311824,0.406161,0.519511,1.00916367965356,1.00099162714291,15000,5000,20,500
"73",100,500,0.4,85.7202517706901,0.33,0.82,62.6044,114.388,214.786,0.290155,0.4330575,0.592189,1.07845241038126,1.08728493742688,15000,5000,20,500
"74",100,500,0.4,115.326322044712,0.28,0.73,57.4048,114.209,230.757,0.248356,0.380838,0.546159,1.00747182799594,1.00419152513781,15000,5000,20,500
"75",100,500,0.4,111.454015534837,0.32,0.83,43.2638,70.7965,110.205,0.26751,0.3723435,0.487771,1.02092812548478,1.00620869267787,15000,5000,20,500
