Replicate,N,LEN,PHI,delta,Pcap,Pstay,delta_lower,delta_med,delta_upper,phi_lower,phi_med,phi_upper,R_hat_delta,R_hat_phi,MCMCiter,Burn_in,N_thin,N_sample,model
38,100,500,0.4,237.721044,0.19,0.54,111.066,425.3175,1155.37,0.214675,0.4702085,0.954804,1.078344056,1.085756124,85000,5000,20,4000,disp_obs
39,100,500,0.4,239.1395427,0.27,0.57,81.4549,185.5295,430.862,0.259458,0.4319205,0.714604,1.023539452,1.025300348,25000,5000,20,1000,disp_obs
40,100,500,0.4,232.7269415,0.23,0.52,78.6369,168.59,342.692,0.220891,0.355123,0.562488,1.005343992,1.006607716,15000,5000,20,500,disp_obs
41,100,500,0.4,30.32062414,0.31,0.97,21.0463,30.95295,45.2149,0.244849,0.3346835,0.438558,1.005656466,0.999177156,15000,5000,20,500,disp_obs
42,100,500,0.4,141.9303191,0.35,0.7,91.2548,220.3655,456.585,0.396091,0.5935975,0.924759,1.089010613,1.072796752,35000,5000,20,1500,disp_obs
43,100,500,0.4,80.5659613,0.34,0.83,58.4226,96.07305,153.179,0.306296,0.432476,0.566525,1.011462278,1.003428664,15000,5000,20,500,disp_obs
44,100,500,0.4,107.3243346,0.33,0.83,78.6346,167.5105,349.205,0.309548,0.4923445,0.76426,1.011923631,1.014721904,25000,5000,20,1000,disp_obs
45,100,500,0.4,101.4606496,0.33,0.81,53.6402,90.2817,141.493,0.292792,0.4209945,0.543815,1.019128659,1.007149251,15000,5000,20,500,disp_obs
46,100,500,0.4,134.4255405,0.39,0.78,83.4848,148.4215,271.968,0.390151,0.564641,0.778933,1.075925489,1.045536302,15000,5000,20,500,disp_obs
47,100,500,0.4,103.6620591,0.35,0.77,67.7701,109.6885,176.251,0.327749,0.465137,0.607872,1.023455655,1.004948183,15000,5000,20,500,disp_obs
48,100,500,0.4,146.0231161,0.39,0.72,65.1457,103.933,162.057,0.366395,0.496028,0.627323,1.01749819,1.025746405,15000,5000,20,500,disp_obs
49,100,500,0.4,219.6469591,0.28,0.67,89.4491,189.527,494.532,0.26705,0.449057,0.808355,1.049079212,1.057468734,15000,5000,20,500,disp_obs
50,100,500,0.4,235.0493658,0.24,0.55,74.5535,167.298,343.083,0.229531,0.3650925,0.576173,1.095864156,1.077564988,15000,5000,20,500,disp_obs
51,100,500,0.4,108.1821667,0.37,0.78,59.8974,100.577,156.616,0.344031,0.4586205,0.597514,1.000387296,1.00070041,15000,5000,20,500,disp_obs
52,100,500,0.4,29.35075196,0.35,0.93,30.6816,46.2369,66.7283,0.295074,0.3880465,0.492509,1.000609339,1.004058663,15000,5000,20,500,disp_obs
53,100,500,0.4,136.2963763,0.32,0.75,101.367,233.3765,498.75,0.359417,0.5589965,0.897443,1.066599308,1.056211537,25000,5000,20,1000,disp_obs
54,100,500,0.4,149.9009324,0.3,0.71,80.5676,147.4905,302.47,0.283098,0.4273125,0.634143,1.016526453,1.007219183,15000,5000,20,500,disp_obs
55,100,500,0.4,208.4301074,0.29,0.56,102.686,242.6415,526.028,0.296507,0.5131345,0.835261,1.044632921,1.037041488,25000,5000,20,1000,disp_obs
56,100,500,0.4,96.62212903,0.24,0.74,68.4184,157.13,489.766,0.203933,0.3603995,0.687881,1.046504841,1.068246428,35000,5000,20,1500,disp_obs
57,100,500,0.4,88.66542716,0.35,0.82,40.8958,64.5423,98.8259,0.294216,0.402015,0.50809,1.018705295,1.001346285,15000,5000,20,500,disp_obs
58,100,500,0.4,58.94521594,0.33,0.88,36.6638,55.21015,82.7552,0.277913,0.3834955,0.487615,1.003073671,0.999578087,15000,5000,20,500,disp_obs
59,100,500,0.4,106.3478745,0.41,0.82,85.4851,150.6725,274.856,0.430215,0.5996395,0.832449,1.013541879,1.010905824,15000,5000,20,500,disp_obs
60,100,500,0.4,61.09237588,0.4,0.86,31.4599,46.0386,65.4881,0.344785,0.4340325,0.542754,1.0110958,0.999312777,15000,5000,20,500,disp_obs
61,100,500,0.4,294.7533482,0.19,0.54,129.391,429.068,1072.75,0.214877,0.479753,0.933738,1.060305408,1.058546386,55000,5000,20,2500,disp_obs
62,100,500,0.4,235.8134443,0.21,0.58,75.2372,184.648,525.899,0.179559,0.342667,0.615265,1.082626641,1.098819383,25000,5000,20,1000,disp_obs
63,100,500,0.4,29.05236204,0.33,0.96,22.3016,32.81035,47.1705,0.267302,0.356558,0.460573,1.003212155,1.002028973,15000,5000,20,500,disp_obs
64,100,500,0.4,99.56143192,0.32,0.83,89.9072,196.1215,430.888,0.303982,0.5054675,0.83523,1.013639104,1.017221256,25000,5000,20,1000,disp_obs
65,100,500,0.4,276.3450789,0.17,0.57,197.964,733.912,1474.45,0.29628,0.6213925,0.999118,1.090908389,1.050285456,85000,5000,20,4000,disp_obs
66,100,500,0.4,103.09906,0.36,0.81,98.7768,215.9685,458.411,0.417903,0.6148905,0.941174,1.009290602,1.008528286,15000,5000,20,500,disp_obs
67,100,500,0.4,94.44235312,0.33,0.81,44.7619,71.6834,107.962,0.282179,0.3836445,0.495622,1.023074865,1.000676325,15000,5000,20,500,disp_obs
68,100,500,0.4,35.24861012,0.33,0.92,20.2582,28.6232,41.904,0.269663,0.357381,0.456503,1.003736278,0.999230779,15000,5000,20,500,disp_obs
69,100,500,0.4,21.77038546,0.39,0.97,16.7593,23.7765,32.7451,0.327406,0.417762,0.519844,1.002637855,1.001419174,15000,5000,20,500,disp_obs
70,100,500,0.4,106.3326543,0.27,0.76,82.1403,187.9845,452.921,0.263777,0.4316135,0.745344,1.067094873,1.079991169,25000,5000,20,1000,disp_obs
71,100,500,0.4,290.8656408,0.15,0.5,84.6956,382.217,1202.45,0.133831,0.357664,0.858876,1.093737653,1.099278887,155000,5000,20,7500,disp_obs
