Replicate,N,LEN,PHI,delta,Pcap,Pstay,delta_lower,delta_med,delta_upper,phi_lower,phi_med,phi_upper,R_hat_delta,R_hat_phi,MCMCiter,Burn_in,N_thin,N_sample,model
770,500,500,0.8,275.4507932,0.44,0.546,201.651,279.5435,372.299,0.680677,0.826277,0.987875,1.067938248,1.059155091,15000,5000,20,500,disp_obs
771,500,500,0.8,257.7532601,0.436,0.558,230.283,316.008,402.015,0.750835,0.8809685,0.999991,1.034338827,1.034871252,25000,5000,20,1000,disp_obs
772,500,500,0.8,85.2179304,0.722,0.852,80.0619,92.9376,107.834,0.822662,0.873984,0.925516,1.000347131,1.001086612,15000,5000,20,500,disp_obs
773,500,500,0.8,126.2296821,0.576,0.726,91.1585,109.5315,129.526,0.683883,0.7412555,0.814834,1.017003169,1.006532982,15000,5000,20,500,disp_obs
774,500,500,0.8,142.2418239,0.582,0.762,133.772,166.411,200.022,0.759271,0.847501,0.936102,1.024172646,1.020514244,15000,5000,20,500,disp_obs
775,500,500,0.8,127.4340047,0.624,0.764,104.513,126.1605,149.012,0.748119,0.813013,0.885092,1.019087004,1.028119891,15000,5000,20,500,disp_obs
776,500,500,0.8,244.8529374,0.472,0.614,202.42,266.6595,346.267,0.747275,0.8710025,0.999764,1.01512712,1.015750296,15000,5000,20,500,disp_obs
777,500,500,0.8,118.1815387,0.602,0.772,101.138,118.978,142.729,0.720104,0.7840365,0.856655,1.011878678,1.009224031,15000,5000,20,500,disp_obs
778,500,500,0.8,23.06613187,0.736,0.958,20.3863,22.8907,25.2757,0.731002,0.7684025,0.807016,1.000482508,0.999874903,15000,5000,20,500,disp_obs
779,500,500,0.8,103.0619352,0.628,0.792,83.2996,98.1015,114.897,0.710972,0.7716425,0.825271,1.005026495,1.002769716,15000,5000,20,500,disp_obs
780,500,500,0.8,172.0194412,0.576,0.704,148.296,189.828,234.161,0.790072,0.8809655,0.989968,1.080874438,1.057300456,25000,5000,20,1000,disp_obs
781,500,500,0.8,196.9595887,0.514,0.652,147.802,187.22,237.433,0.692561,0.792202,0.906531,1.043593518,1.025897234,25000,5000,20,1000,disp_obs
782,500,500,0.8,271.3114712,0.438,0.524,232.22,307.8905,392.621,0.74912,0.8663745,0.999603,1.024000202,1.018565667,25000,5000,20,1000,disp_obs
783,500,500,0.8,105.7413796,0.61,0.766,95.7035,113.468,133.2,0.723677,0.791366,0.849771,1.001766986,1.00047538,15000,5000,20,500,disp_obs
784,500,500,0.8,101.9498948,0.606,0.764,78.3156,90.969,105.992,0.690208,0.7512825,0.804635,1.002628412,1.001166381,15000,5000,20,500,disp_obs
785,500,500,0.8,169.9428434,0.568,0.712,133.493,166.782,206.371,0.749797,0.8395255,0.943436,1.017047231,1.028504206,15000,5000,20,500,disp_obs
786,500,500,0.8,277.173709,0.428,0.518,180.221,254.8665,359.133,0.639673,0.7711225,0.973004,1.028461496,1.028546072,25000,5000,20,1000,disp_obs
787,500,500,0.8,258.3838386,0.464,0.566,213.759,292.506,365.266,0.756775,0.8957725,0.998595,1.036278069,1.016005523,15000,5000,20,500,disp_obs
788,500,500,0.8,93.12780404,0.672,0.82,81.7611,96.115,110.922,0.766277,0.818766,0.878005,1.002562187,1.003582474,15000,5000,20,500,disp_obs
789,500,500,0.8,96.26970977,0.666,0.812,82.5484,96.6134,111.835,0.763596,0.8188755,0.868176,1.008594339,1.002166957,15000,5000,20,500,disp_obs
790,500,500,0.8,257.4538136,0.488,0.606,178.338,237.146,300.832,0.714418,0.829634,0.963463,1.075540615,1.076907237,15000,5000,20,500,disp_obs
791,500,500,0.8,136.0258115,0.602,0.738,103.097,123.4755,146.399,0.738374,0.808195,0.886493,1.000604196,1.004168523,15000,5000,20,500,disp_obs
792,500,500,0.8,242.0965036,0.498,0.616,211.178,278.0985,340.809,0.795802,0.914732,0.999992,1.077893326,1.077914076,25000,5000,20,1000,disp_obs
793,500,500,0.8,245.6229541,0.446,0.566,167.172,216.897,287.048,0.627222,0.733159,0.86622,1.033718346,1.033600059,15000,5000,20,500,disp_obs
794,500,500,0.8,251.6193756,0.456,0.584,138.853,181.8005,235.015,0.5935,0.6874525,0.799209,1.031678914,1.035225271,15000,5000,20,500,disp_obs
795,500,500,0.8,213.6023493,0.472,0.608,165.431,231.757,305.509,0.677345,0.799159,0.952799,1.03786903,1.029295583,15000,5000,20,500,disp_obs
796,500,500,0.8,49.4788621,0.69,0.892,46.0414,51.6278,58.4238,0.726873,0.7669505,0.811169,1.003949155,1.000586549,15000,5000,20,500,disp_obs
797,500,500,0.8,85.17873014,0.65,0.81,80.7526,91.74485,106.785,0.747281,0.8096505,0.857111,1.007212987,1.003254637,15000,5000,20,500,disp_obs
798,500,500,0.8,12.9166439,0.78,0.98,12.4374,13.7802,15.2064,0.764798,0.800587,0.835002,0.999489207,1.001570367,15000,5000,20,500,disp_obs
799,500,500,0.8,134.7677167,0.63,0.762,108.931,132.3885,162.644,0.755396,0.833737,0.915367,1.022551542,1.022002212,15000,5000,20,500,disp_obs
800,500,500,0.8,113.5212081,0.614,0.766,100.263,120.6485,143.238,0.744118,0.814175,0.888621,1.010261905,1.007340451,15000,5000,20,500,disp_obs
801,1000,500,0.8,88.63678622,0.669,0.824,80.4578,89.24455,98.3841,0.778117,0.818107,0.853661,1.008944872,1.002397037,15000,5000,20,500,disp_obs
802,1000,500,0.8,249.9704134,0.442,0.542,165.555,200.775,245.404,0.620295,0.6967545,0.774835,1.048332048,1.032885077,15000,5000,20,500,disp_obs
803,1000,500,0.8,172.2066831,0.534,0.661,132.584,152.5265,178.606,0.705156,0.761682,0.819512,1.009797525,1.005030282,15000,5000,20,500,disp_obs
804,1000,500,0.8,143.0767608,0.575,0.712,134.088,153.847,176.266,0.767655,0.8219525,0.886289,1.003654558,1.003623229,15000,5000,20,500,disp_obs
805,1000,500,0.8,292.1059936,0.423,0.518,223.886,289.354,360.388,0.70069,0.8108835,0.943115,1.061414604,1.049072121,15000,5000,20,500,disp_obs
806,1000,500,0.8,180.4086001,0.531,0.654,153.962,180.538,211.149,0.737607,0.8070525,0.875556,1.019273622,1.015145267,15000,5000,20,500,disp_obs
807,1000,500,0.8,68.05540884,0.668,0.87,62.8234,68.76925,75.8516,0.729846,0.7629855,0.797756,1.002325632,1.000015376,15000,5000,20,500,disp_obs
808,1000,500,0.8,274.5757183,0.451,0.547,209.522,261.335,329.044,0.698667,0.808889,0.924537,1.06531385,1.056213183,25000,5000,20,1000,disp_obs
809,1000,500,0.8,261.3562609,0.447,0.558,188.772,220.7685,268.877,0.666166,0.743477,0.828867,1.016153824,1.009854076,15000,5000,20,500,disp_obs
810,1000,500,0.8,92.64069823,0.651,0.809,80.94,89.19705,99.4427,0.762685,0.8003975,0.838484,1.004392154,1.001927352,15000,5000,20,500,disp_obs
811,1000,500,0.8,140.4046209,0.603,0.727,128.089,150.7735,177.888,0.779823,0.8449675,0.91551,1.060544315,1.05957756,15000,5000,20,500,disp_obs
812,1000,500,0.8,271.6798493,0.456,0.551,216.359,271.023,342.41,0.734411,0.8453735,0.979031,1.050516255,1.045009084,35000,5000,20,1500,disp_obs
813,1000,500,0.8,120.6756117,0.595,0.742,106.392,120.7155,135.174,0.744712,0.7894645,0.837298,1.017535459,1.010961501,15000,5000,20,500,disp_obs
814,1000,500,0.8,236.0630176,0.446,0.569,202.037,258.1155,320.156,0.698357,0.8000995,0.919628,1.0047387,1.004349532,15000,5000,20,500,disp_obs
815,1000,500,0.8,148.2911739,0.568,0.704,121.474,142.2665,163.939,0.721892,0.782588,0.83832,1.009584065,1.004245814,15000,5000,20,500,disp_obs
816,1000,500,0.8,106.0169741,0.642,0.792,85.7345,95.9762,106.258,0.755735,0.797702,0.835653,1.01416848,1.00319286,15000,5000,20,500,disp_obs
817,1000,500,0.8,282.9095061,0.406,0.51,241.054,322.7115,421.465,0.708055,0.8300685,0.995526,1.047581109,1.034384326,25000,5000,20,1000,disp_obs
818,1000,500,0.8,262.2234616,0.476,0.569,244.513,299.846,349.085,0.824379,0.924858,0.999962,1.033604558,1.039662971,25000,5000,20,1000,disp_obs
819,1000,500,0.8,235.8217694,0.495,0.622,215.115,270.8365,327.166,0.804633,0.899477,0.999604,1.04314991,1.04095704,15000,5000,20,500,disp_obs
820,1000,500,0.8,285.4644608,0.433,0.547,232.012,292.5,372.6,0.719274,0.828746,0.967695,1.060735566,1.057240792,25000,5000,20,1000,disp_obs
821,1000,500,0.8,137.987562,0.583,0.732,113.25,130.247,147.55,0.737763,0.788604,0.84707,1.023504955,1.02281903,15000,5000,20,500,disp_obs
822,1000,500,0.8,143.5791082,0.571,0.715,120.977,138.4715,160.718,0.730209,0.78385,0.841326,1.041796666,1.019701124,15000,5000,20,500,disp_obs
823,1000,500,0.8,149.3405902,0.593,0.737,134.83,155.7005,180.274,0.786088,0.854446,0.910788,1.037917741,1.046646899,15000,5000,20,500,disp_obs
824,1000,500,0.8,228.585961,0.501,0.617,193.193,231.7485,278.262,0.760476,0.847155,0.936268,1.015552105,1.018795307,15000,5000,20,500,disp_obs
825,1000,500,0.8,14.73250586,0.794,0.974,13.0715,14.16855,15.0782,0.787767,0.8137375,0.837302,0.999145253,0.999883523,15000,5000,20,500,disp_obs
826,1000,500,0.8,268.4443774,0.436,0.556,197.748,252.7065,328.194,0.679606,0.771503,0.91279,1.051431945,1.04174109,15000,5000,20,500,disp_obs
827,1000,500,0.8,155.224421,0.567,0.695,122.043,140.1685,159.121,0.727901,0.7809105,0.837315,1.018989185,1.01891216,15000,5000,20,500,disp_obs
828,1000,500,0.8,217.3998291,0.491,0.618,175.939,208.91,249.502,0.709179,0.7873315,0.874477,1.018457077,1.009147978,15000,5000,20,500,disp_obs
829,1000,500,0.8,84.71821501,0.668,0.827,75.0006,82.5069,91.6225,0.767598,0.802483,0.84015,1.001094843,1.001321102,15000,5000,20,500,disp_obs
830,1000,500,0.8,42.40337351,0.752,0.92,39.256,42.4176,45.8479,0.790365,0.817396,0.84301,0.99984241,1.000517749,15000,5000,20,500,disp_obs
831,1000,500,0.8,55.87693194,0.694,0.883,52.5981,57.5618,62.7002,0.76296,0.797236,0.828127,1.001687011,1.000159652,15000,5000,20,500,disp_obs
832,1000,500,0.8,71.85660823,0.692,0.87,62.3801,68.1282,74.1499,0.752816,0.7889,0.818452,1.003855889,1.003485186,15000,5000,20,500,disp_obs
833,1000,500,0.8,23.69827341,0.787,0.959,22.2374,23.9214,25.6212,0.795491,0.8196495,0.844404,1.000471877,1.003261962,15000,5000,20,500,disp_obs
834,1000,500,0.8,31.78086135,0.727,0.924,31.3891,33.96885,36.609,0.756988,0.783107,0.812286,1.000255241,1.000783868,15000,5000,20,500,disp_obs
835,1000,500,0.8,214.1608783,0.508,0.632,200.571,240.5395,289.617,0.790769,0.8842155,0.979052,1.053111482,1.019629428,15000,5000,20,500,disp_obs
836,1000,500,0.8,12.88335968,0.787,0.97,13.0045,13.968,14.9685,0.788366,0.8128755,0.839243,1.000595033,1.000182356,15000,5000,20,500,disp_obs
837,1000,500,0.8,152.8236461,0.546,0.707,143.157,166.906,194.472,0.744443,0.8044595,0.876602,1.014486156,1.011340762,15000,5000,20,500,disp_obs
838,1000,500,0.8,192.1125204,0.499,0.636,154.874,181.6965,221.1,0.701043,0.762237,0.853424,1.013131621,1.015496295,15000,5000,20,500,disp_obs
839,1000,500,0.8,170.9986045,0.527,0.664,137.151,162.1165,190.413,0.695705,0.7619555,0.826816,1.027686683,1.024385785,25000,5000,20,1000,disp_obs
840,1000,500,0.8,250.3133599,0.431,0.553,275.938,344.98,411.293,0.805273,0.914443,0.999955,1.041865962,1.048884654,25000,5000,20,1000,disp_obs
841,1000,500,0.8,182.6079676,0.538,0.655,157.873,186.172,218.269,0.748943,0.8198295,0.899257,1.02620341,1.018342882,15000,5000,20,500,disp_obs
842,1000,500,0.8,54.75056424,0.697,0.892,51.8335,56.3263,61.388,0.751329,0.782152,0.813279,1.006444387,1.001025255,15000,5000,20,500,disp_obs
843,1000,500,0.8,137.7629107,0.58,0.719,113.575,127.6275,146.089,0.737129,0.781197,0.835727,1.004256089,1.00044193,15000,5000,20,500,disp_obs
844,1000,500,0.8,199.9013977,0.54,0.652,200.315,237.1535,277.183,0.846957,0.920114,0.999566,1.062309332,1.048987199,15000,5000,20,500,disp_obs
845,1000,500,0.8,195.3751193,0.505,0.63,190.66,231.625,280.629,0.757812,0.853581,0.954525,1.058646316,1.055796742,25000,5000,20,1000,disp_obs
846,1000,500,0.8,80.58156956,0.65,0.834,70.8967,78.19325,86.1079,0.737371,0.776102,0.80919,1.000903961,1.001031973,15000,5000,20,500,disp_obs
847,1000,500,0.8,87.0904357,0.651,0.823,75.0402,82.09005,90.9941,0.740077,0.7758495,0.811735,1.0161464,1.004579943,15000,5000,20,500,disp_obs
848,1000,500,0.8,124.487286,0.615,0.76,113.394,127.599,143.015,0.763562,0.812748,0.854187,1.046863471,1.026922085,15000,5000,20,500,disp_obs
849,1000,500,0.8,75.64792951,0.675,0.845,70.5232,77.3584,84.9072,0.756887,0.7906975,0.824137,1.003259295,1.005344403,15000,5000,20,500,disp_obs
850,1000,500,0.8,134.9562023,0.578,0.728,119.716,137.994,157.894,0.732549,0.788234,0.84285,1.03390055,1.025189432,15000,5000,20,500,disp_obs
851,1000,500,0.8,236.1903088,0.47,0.588,209.251,266.2295,324.108,0.740372,0.8532485,0.962445,1.072766012,1.056093951,35000,5000,20,1500,disp_obs
852,1000,500,0.8,294.6521516,0.398,0.506,214.253,292.05,382.394,0.650974,0.770579,0.934249,1.011764839,1.016593835,15000,5000,20,500,disp_obs
853,1000,500,0.8,254.2430521,0.438,0.567,195.328,241.8025,305.517,0.65066,0.7569305,0.859603,1.019591344,1.013093918,15000,5000,20,500,disp_obs
854,1000,500,0.8,93.54355026,0.671,0.802,82.1078,90.7265,100.604,0.783995,0.82058,0.859914,1.000414261,1.000070132,15000,5000,20,500,disp_obs
855,1000,500,0.8,77.14174547,0.674,0.851,74.6121,81.2377,89.5661,0.763171,0.7974845,0.833712,1.001527339,1.000592402,15000,5000,20,500,disp_obs
856,1000,500,0.8,84.36809112,0.663,0.819,76.0206,84.0482,92.3219,0.761583,0.792963,0.833398,1.006841649,1.002817537,15000,5000,20,500,disp_obs
857,1000,500,0.8,120.6824575,0.625,0.779,105.58,119.723,134.157,0.771461,0.8166745,0.865469,1.003464725,1.001089157,15000,5000,20,500,disp_obs
858,1000,500,0.8,177.6653981,0.528,0.659,139.527,163.9815,190.421,0.704562,0.764938,0.830533,1.004066174,1.006819348,15000,5000,20,500,disp_obs
859,1000,500,0.8,160.0271673,0.536,0.681,135.276,159.2235,185.053,0.709904,0.774643,0.841546,1.08698088,1.071329382,15000,5000,20,500,disp_obs
860,1000,500,0.8,257.7780365,0.46,0.561,215,270.9,340.864,0.752114,0.8475585,0.989309,1.029355192,1.020947837,25000,5000,20,1000,disp_obs
861,1000,500,0.8,39.3330944,0.73,0.92,36.6494,39.90565,42.9947,0.760258,0.788378,0.818171,0.999355681,1.000015302,15000,5000,20,500,disp_obs
862,1000,500,0.8,131.7307412,0.586,0.759,107.518,120.026,135.516,0.722837,0.7676595,0.812317,1.001592971,1.002130553,15000,5000,20,500,disp_obs
863,1000,500,0.8,296.7761441,0.426,0.545,247.334,316.3265,391.54,0.746944,0.8538425,0.995815,1.016677663,1.013427599,35000,5000,20,1500,disp_obs
864,1000,500,0.8,35.53955924,0.718,0.933,31.32,34.026,36.5943,0.738915,0.7700195,0.796965,0.999845019,1.001440821,15000,5000,20,500,disp_obs
865,1000,500,0.8,120.8530489,0.623,0.779,101.87,114.38,128.903,0.753804,0.8006145,0.847994,1.006851814,1.00580773,15000,5000,20,500,disp_obs
866,1000,500,0.8,208.7840068,0.485,0.605,182.745,222.6055,268.768,0.710723,0.8052685,0.899214,1.009565715,1.016590278,15000,5000,20,500,disp_obs
867,1000,500,0.8,111.7247131,0.622,0.778,92.2424,103.2765,115.932,0.733941,0.77515,0.820569,1.00085694,1.000659847,15000,5000,20,500,disp_obs
868,1000,500,0.8,10.6772802,0.774,0.979,9.81227,10.5613,11.285,0.763392,0.788492,0.814505,0.999879783,1.002944655,15000,5000,20,500,disp_obs
869,1000,500,0.8,277.0412604,0.402,0.507,222.673,298.789,397.157,0.65593,0.782974,0.945078,1.063624494,1.062753342,45000,5000,20,2000,disp_obs
870,1000,500,0.8,82.21471581,0.676,0.829,71.0561,78.78955,86.3285,0.766188,0.800193,0.836087,1.002767973,1.001164349,15000,5000,20,500,disp_obs
871,1000,500,0.8,60.65596543,0.71,0.891,53.4437,58.0691,63.5114,0.76772,0.7990195,0.826253,1.003368825,1.000797709,15000,5000,20,500,disp_obs
872,1000,500,0.8,264.8467538,0.429,0.543,251.369,316.2045,397.867,0.757551,0.8584685,0.99973,1.023472582,1.017715401,35000,5000,20,1500,disp_obs
873,1000,500,0.8,158.620973,0.555,0.678,146.596,172.609,204.302,0.75498,0.8279605,0.908332,1.061008741,1.065849326,35000,5000,20,1500,disp_obs
874,1000,500,0.8,22.89946412,0.744,0.962,22.387,24.10775,25.9514,0.752896,0.777075,0.806968,1.002099964,1.002866469,15000,5000,20,500,disp_obs
875,1000,500,0.8,50.39688479,0.718,0.91,46.6351,50.8965,55.288,0.770352,0.801212,0.830438,1.000863629,1.003805142,15000,5000,20,500,disp_obs
876,1000,500,0.8,209.5202701,0.52,0.637,186.196,222.206,275.365,0.774159,0.8630775,0.963825,1.099945341,1.098248837,25000,5000,20,1000,disp_obs
877,1000,500,0.8,286.0477203,0.418,0.538,196.688,259.156,353.591,0.634545,0.750041,0.908184,1.025403166,1.031636904,25000,5000,20,1000,disp_obs
878,1000,500,0.8,40.34289641,0.729,0.921,38.1086,41.3793,44.8898,0.764522,0.794121,0.821044,1.000913561,1.00284989,15000,5000,20,500,disp_obs
879,1000,500,0.8,50.43018535,0.688,0.887,48.0612,52.4423,57.3265,0.736965,0.7682435,0.799017,1.001309714,1.000535244,15000,5000,20,500,disp_obs
880,1000,500,0.8,169.7789737,0.522,0.646,133.424,154.0575,180.194,0.683212,0.7390285,0.804655,1.008233887,1.004799998,15000,5000,20,500,disp_obs
881,1000,500,0.8,238.3877193,0.444,0.555,174.197,209.2825,268.638,0.629322,0.720225,0.815708,1.093730834,1.077163743,15000,5000,20,500,disp_obs
882,1000,500,0.8,28.43188446,0.751,0.952,26.7578,28.95455,31.1574,0.76324,0.7916905,0.818544,1.000442111,1.000415354,15000,5000,20,500,disp_obs
883,1000,500,0.8,267.8101577,0.466,0.574,266.781,325.4265,381.263,0.840817,0.945448,0.999538,1.075981241,1.049014782,15000,5000,20,500,disp_obs
884,1000,500,0.8,159.3282431,0.561,0.701,133.718,154.0975,180.167,0.736976,0.794653,0.860623,1.026677406,1.015090423,15000,5000,20,500,disp_obs
885,1000,500,0.8,32.99329387,0.757,0.93,32.179,34.5386,37.5029,0.790912,0.8170135,0.844847,1.002546862,1.00038587,15000,5000,20,500,disp_obs
886,1000,500,0.8,44.79681365,0.748,0.925,41.9729,45.3873,49.1487,0.792992,0.8196365,0.847928,1.001334794,1.000246999,15000,5000,20,500,disp_obs
887,1000,500,0.8,15.31103373,0.766,0.973,14.2496,15.3209,16.4587,0.765097,0.7921565,0.816741,1.000884297,1.001833512,15000,5000,20,500,disp_obs
888,1000,500,0.8,121.1737912,0.597,0.759,108.699,122.6915,137.991,0.740103,0.7890915,0.832891,1.002943277,1.00352337,15000,5000,20,500,disp_obs
889,1000,500,0.8,109.3036681,0.634,0.79,97.0042,109.2305,121.487,0.76424,0.808662,0.851658,1.0006859,1.00005402,15000,5000,20,500,disp_obs
890,1000,500,0.8,60.5793087,0.721,0.881,55.5982,60.28425,66.1305,0.796043,0.827589,0.86049,1.000444298,0.999716196,15000,5000,20,500,disp_obs
891,1000,500,0.8,117.6418548,0.582,0.765,93.9517,105.376,117.462,0.690019,0.7332565,0.779202,1.000315147,1.001247191,15000,5000,20,500,disp_obs
892,1000,500,0.8,69.76857396,0.662,0.852,68.7247,75.944,83.0651,0.75675,0.7913995,0.826572,1.001422998,1.000476379,15000,5000,20,500,disp_obs
893,1000,500,0.8,46.19578289,0.722,0.914,40.8534,44.37925,47.9495,0.765063,0.793677,0.822221,0.999554899,0.999369951,15000,5000,20,500,disp_obs
894,1000,500,0.8,157.0557533,0.55,0.671,123.143,141.113,159.469,0.706202,0.760922,0.812775,1.002576813,1.004547278,15000,5000,20,500,disp_obs
895,1000,500,0.8,21.58527641,0.771,0.958,20.5487,22.039,23.8174,0.777752,0.8019785,0.830943,1.002349411,1.001145513,15000,5000,20,500,disp_obs
896,1000,500,0.8,113.1815937,0.63,0.781,106.559,120.3395,135.163,0.778186,0.8266975,0.874033,1.014883274,1.008245192,15000,5000,20,500,disp_obs
897,1000,500,0.8,256.4865217,0.472,0.579,236.75,293.406,342.73,0.804978,0.9043945,0.995994,1.019271745,1.016401636,15000,5000,20,500,disp_obs
898,1000,500,0.8,29.87377996,0.739,0.934,26.9287,29.0115,31.1809,0.762527,0.7906235,0.816905,1.001813476,1.000053948,15000,5000,20,500,disp_obs
899,1000,500,0.8,139.193945,0.577,0.736,120.523,139.167,160.146,0.730341,0.787611,0.844875,1.023790208,1.019045071,15000,5000,20,500,disp_obs
900,1000,500,0.8,117.6884998,0.609,0.767,105.989,119.8445,134.788,0.753827,0.803808,0.851693,1.013306098,1.00769914,15000,5000,20,500,disp_obs
901,100,1000,0.8,257.3844125,0.61,0.74,185.06,273.0945,391.01,0.675515,0.8149105,0.971235,1.03595584,1.021949042,15000,5000,20,500,disp_obs
902,100,1000,0.8,280.7336938,0.57,0.7,207.569,329.4745,477.298,0.691856,0.8433435,0.997925,1.060659584,1.032363251,15000,5000,20,500,disp_obs
903,100,1000,0.8,230.4522957,0.62,0.76,160.005,236.6375,325.068,0.697214,0.838347,0.976107,1.005518405,1.004725882,15000,5000,20,500,disp_obs
904,100,1000,0.8,98.79240049,0.71,0.9,83.9596,113.634,144.784,0.709616,0.8143835,0.900995,1.0009954,1.004796403,15000,5000,20,500,disp_obs
905,100,1000,0.8,74.28108388,0.72,0.94,55.7258,73.05325,92.2623,0.677139,0.768865,0.864095,0.999776217,1.000282588,15000,5000,20,500,disp_obs
906,100,1000,0.8,46.18630046,0.79,0.97,36.8273,47.5091,58.7747,0.738128,0.824434,0.899916,1.003469824,1.002938058,15000,5000,20,500,disp_obs
907,100,1000,0.8,25.05836777,0.86,0.95,22.8294,28.73965,35.1508,0.828198,0.89007,0.951933,1.004330837,1.003782261,15000,5000,20,500,disp_obs
908,100,1000,0.8,188.1020615,0.62,0.78,165.311,235.881,315.99,0.732918,0.856341,0.990393,1.004640743,1.012271931,15000,5000,20,500,disp_obs
909,100,1000,0.8,215.8450767,0.62,0.8,153.268,214.749,301.14,0.653053,0.7862585,0.910591,1.008970119,1.000336921,15000,5000,20,500,disp_obs
910,100,1000,0.8,248.8804436,0.59,0.72,264.073,386.4045,538.249,0.761818,0.902209,0.999842,1.004348412,0.999917405,15000,5000,20,500,disp_obs
911,100,1000,0.8,294.3731855,0.54,0.68,239.527,401.4695,587.526,0.66584,0.8332075,0.998003,1.023196516,1.0189199,25000,5000,20,1000,disp_obs
912,100,1000,0.8,20.54151072,0.63,0.96,18.1433,22.90105,29.399,0.556566,0.6519435,0.745301,1.000813006,0.999256291,15000,5000,20,500,disp_obs
913,100,1000,0.8,205.7134756,0.57,0.78,133.49,185.968,263.581,0.559415,0.693124,0.819487,1.0090601,1.006729254,15000,5000,20,500,disp_obs
914,100,1000,0.8,155.4368189,0.65,0.9,106.926,140.8165,194.474,0.644599,0.75073,0.853772,1.007015,1.021882485,15000,5000,20,500,disp_obs
915,100,1000,0.8,14.39842919,0.77,0.99,10.5157,13.21255,16.5768,0.700644,0.7817145,0.853727,1.000089158,1.001821046,15000,5000,20,500,disp_obs
916,100,1000,0.8,162.429123,0.68,0.84,168.605,229.3615,311.703,0.796349,0.9119555,0.999998,1.011040655,1.014372481,15000,5000,20,500,disp_obs
917,100,1000,0.8,119.4558194,0.66,0.84,79.5964,106.8035,140.086,0.66709,0.764781,0.867447,1.007604371,1.006129127,15000,5000,20,500,disp_obs
918,100,1000,0.8,294.3487457,0.52,0.7,158.707,256.627,399.342,0.563067,0.719958,0.900752,1.061087766,1.03462115,25000,5000,20,1000,disp_obs
919,100,1000,0.8,94.4437874,0.71,0.91,65.7273,89.87035,114.301,0.686366,0.782181,0.879977,1.000080075,1.001363751,15000,5000,20,500,disp_obs
920,100,1000,0.8,183.7726172,0.6,0.76,120.154,169.5385,229.51,0.605084,0.7225905,0.839698,1.001278073,1.001849405,15000,5000,20,500,disp_obs
921,100,1000,0.8,178.0025731,0.64,0.78,138.613,199.573,275.135,0.692001,0.817341,0.958667,1.004144099,1.00564001,15000,5000,20,500,disp_obs
922,100,1000,0.8,166.0205173,0.68,0.82,116.443,158.871,214.067,0.688457,0.7903165,0.900088,1.026134503,1.010153331,15000,5000,20,500,disp_obs
923,100,1000,0.8,161.8699639,0.68,0.85,96.8979,133.1895,177.895,0.657934,0.76873,0.870725,1.003259897,1.00057144,15000,5000,20,500,disp_obs
924,100,1000,0.8,26.58277947,0.74,0.98,15.8873,20.87565,25.7525,0.666455,0.757584,0.831964,1.000133098,1.00301313,15000,5000,20,500,disp_obs
925,100,1000,0.8,91.19443008,0.76,0.94,84.965,110.6565,143.744,0.75953,0.848584,0.932164,1.003283347,1.000815804,15000,5000,20,500,disp_obs
926,100,1000,0.8,27.33118381,0.87,0.98,20.6431,25.71065,31.5015,0.822782,0.890036,0.944747,1.000051842,0.99948547,15000,5000,20,500,disp_obs
927,100,1000,0.8,17.44564005,0.77,0.99,12.515,15.98625,19.8367,0.694859,0.7837375,0.856662,1.007952265,1.000413246,15000,5000,20,500,disp_obs
928,100,1000,0.8,244.5374316,0.59,0.81,163.157,241.883,368.547,0.651153,0.787765,0.976846,1.018476688,1.024581614,15000,5000,20,500,disp_obs
929,100,1000,0.8,30.0589936,0.83,1,25.8203,32.14335,40.0557,0.761352,0.8384215,0.902533,1.001373948,1.003831005,15000,5000,20,500,disp_obs
930,100,1000,0.8,255.1862689,0.62,0.79,192.017,284.547,379.659,0.741167,0.884174,0.998745,1.006644055,1.010012194,15000,5000,20,500,disp_obs
931,100,1000,0.8,22.9952984,0.8,0.97,22.0786,28.01285,34.5432,0.74252,0.8212885,0.891177,1.002850536,1.000743046,15000,5000,20,500,disp_obs
932,100,1000,0.8,247.4578666,0.61,0.78,222.843,331.758,476.614,0.724159,0.8654395,0.999107,1.01464631,1.004210044,15000,5000,20,500,disp_obs
933,100,1000,0.8,142.0406945,0.65,0.83,121.516,168.529,232.594,0.662371,0.785169,0.907658,1.015587692,1.014556606,15000,5000,20,500,disp_obs
934,100,1000,0.8,59.53166907,0.75,0.94,43.7116,57.4734,71.7904,0.696141,0.785985,0.864577,1.002896552,1.00047904,15000,5000,20,500,disp_obs
935,100,1000,0.8,269.824153,0.69,0.81,214.421,299.371,397.951,0.819369,0.9351155,0.999612,1.01231287,1.027269847,15000,5000,20,500,disp_obs
936,100,1000,0.8,26.5849901,0.74,0.94,21.558,27.97975,34.7327,0.705872,0.7904495,0.874959,0.999698167,0.999949309,15000,5000,20,500,disp_obs
937,100,1000,0.8,170.8934617,0.62,0.79,110.108,159.289,218.505,0.637674,0.7522015,0.874587,1.004150567,1.000519682,15000,5000,20,500,disp_obs
938,100,1000,0.8,168.1634002,0.63,0.83,120.926,173.5345,249.262,0.61046,0.7438385,0.860423,1.026560291,1.015467815,15000,5000,20,500,disp_obs
939,100,1000,0.8,23.14590367,0.76,0.97,17.0412,21.3653,26.5766,0.690148,0.7791025,0.85879,1.002873161,0.999461624,15000,5000,20,500,disp_obs
