"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"47",100,500,0.4,99.2960697086528,0.32,0.83,57.5335,103.6845,176.837,1.00139301487159,15000,5000,20,500
"48",100,500,0.4,21.4504864183255,0.37,0.94,14.7354,20.6967,28.9733,1.00085753221875,15000,5000,20,500
"49",100,500,0.4,116.098121767864,0.29,0.73,52.6974,84.7496,138.932,1.00774664385526,15000,5000,20,500
"50",100,500,0.4,155.852559295017,0.29,0.63,72.7529,193.918,846.086,1.01221400106839,15000,5000,20,500
"51",100,500,0.4,188.785907616839,0.25,0.59,88.0724,269.567,4503.79,1.004058037192,15000,5000,20,500
"52",100,500,0.4,134.334346156102,0.26,0.69,60.3631,113.456,213.136,1.00202684520431,15000,5000,20,500
"53",100,500,0.4,58.4064120217226,0.36,0.87,27.4245,40.36375,57.538,0.999834547765202,15000,5000,20,500
"54",100,500,0.4,149.169867178425,0.24,0.72,105.261,502.442,10638.7,1.00106848323569,15000,5000,20,500
"55",100,500,0.4,225.90966718737,0.24,0.58,62.5616,147.345,415.273,1.00605784949663,15000,5000,20,500
"56",100,500,0.4,188.491075707134,0.33,0.73,54.4548,93.2763,145.623,1.00278473910858,15000,5000,20,500
"57",100,500,0.4,255.361029487103,0.19,0.55,85.0301,335.2825,7331.79,1.00788220656961,15000,5000,20,500
"58",100,500,0.4,219.38084558351,0.3,0.65,84.7387,184.1585,548.505,1.00533665207011,15000,5000,20,500
"59",100,500,0.4,108.207665455993,0.29,0.79,62.9302,110.0455,184.582,0.999800778756219,15000,5000,20,500
"60",100,500,0.4,130.698660719208,0.34,0.76,46.6654,73.1589,115.728,1.0054861157957,15000,5000,20,500
"61",100,500,0.4,117.500819168054,0.37,0.79,78.4169,146.666,305.281,1.00238199221988,15000,5000,20,500
"62",100,500,0.4,257.843752638437,0.25,0.62,63.9998,177.056,838.845,1.00254774975567,15000,5000,20,500
"63",100,500,0.4,161.263343184255,0.35,0.72,79.3405,143.0565,284.412,1.01501394496523,15000,5000,20,500
"64",100,500,0.4,195.045507983305,0.21,0.66,55.5059,137.5145,360.843,1.00823676974878,15000,5000,20,500
"65",100,500,0.4,120.065923810471,0.28,0.78,98.7392,370.919,8449.26,1.00013863641046,15000,5000,20,500
